"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post_1","Post_2","Post_3","Post_4","Post_5","Post_6","Post_7","Post_8","Post_9","PostNotOpt_1","PostNotOpt_2","PostNotOpt_3","PostNotOpt_4","PostNotOpt_5","PostNotOpt_6","PostNotOpt_7","PostNotOpt_8","PostNotOpt_9","CCode","logLik"
"1",1,0,1325,6,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,321,332,231,"striped",122122,"False",2,1,3,6,18,8,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.32266,0.34401,0.33333,0.35087,0.31579,0.34401,0.32266,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,122122,2.19790858620697
"2",2,0,2212,7,"English","solid things",0.5,"striped things",0.85,"polka-dotted things",0.3,"blue things",0.5,"red things",0.5,"green things",0.5,223,213,233,"circle",323211,"True",1,2,3,23,20,26,NA,NA,NA,0.30303,0.51515,0.18182,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.27486,0.45029,0.27486,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,1,0,0.33333,0.33333,0.33333,323211,2.13582133208526
"3",3,0,1772,8,"English","clouds",0.5,"circles",0.8,"squares",0.25,"blue things",0.5,"red things",0.5,"green things",0.5,221,221,321,"striped",322132,"True",2,1,3,5,5,6,0.32258,0.51613,0.16129,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.37676,0.28991,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323221,2.15653129218193
"4",4,0,1026,9,"English","clouds",0.7,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.7,"polka-dotted things",0.5,122,232,133,"red",212212,"True",3,1,2,13,17,25,0.41176,0.29412,0.29412,0.29412,0.41176,0.29412,NA,NA,NA,0.39757,0.26909,0.33333,0.33333,0.39604,0.27063,0.33333,0.33937,0.32729,0.66667,0,0.33333,0.33333,0.66667,0,0.33333,0.33333,0.33333,212212,2.1779408067107
"5",5,0,1540,10,"English","clouds",0.35,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.85,"polka-dotted things",0.5,323,313,113,"green",322112,"True",3,1,2,24,21,19,0.25926,0.37037,0.37037,0.27027,0.45946,0.27027,NA,NA,NA,0.28861,0.33333,0.37806,0.25152,0.41515,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,0,0.66667,0.33333,0.33333,0.33333,0.33333,322112,2.16321252983693
"6",6,0,571,11,"English","blue things",0.5,"red things",0.75,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,111,311,"cloud",213212,"True",1,3,2,10,1,3,NA,NA,NA,0.33333,0.33333,0.33333,0.28571,0.42857,0.28571,0.33914,0.33333,0.32752,0.33333,0.33333,0.33333,0.26836,0.3983,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,213212,2.18285168469982
"7",7,0,547,12,"English","clouds",0.7,"circles",0.5,"squares",0.35,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,132,133,331,"red",112132,"False",3,1,2,16,25,9,0.45161,0.32258,0.22581,0.33333,0.33333,0.33333,NA,NA,NA,0.34333,0.33333,0.32334,0.33333,0.33333,0.33333,0.3223,0.3564,0.3213,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,113221,2.19075446813182
"8",8,0,2122,13,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,312,221,233,"red",111112,"False",3,1,2,12,5,26,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.31486,0.35181,0.3584,0.3208,0.3208,0.3208,0.3584,0.3208,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,111211,2.1996315546518
"9",9,0,1393,14,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,221,331,111,"striped",113211,"False",2,3,1,5,9,1,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.32144,0.35712,0.32144,0.32144,0.35712,0.32144,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,113211,2.19846936313725
"10",10,0,607,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,213,113,322,"circle",112121,"False",1,2,3,20,19,15,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.32119,0.35584,0.32297,0.34281,0.32386,0.33333,0.33333,0.32386,0.34281,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112121,2.19776369636965
"11",11,0,1008,16,"English","blue things",0.5,"red things",0.85,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,322,221,212,"striped",212212,"True",2,3,1,15,5,11,0.33333,0.33333,0.33333,NA,NA,NA,0.27027,0.45946,0.27027,0.33333,0.27063,0.39604,0.32729,0.33937,0.33333,0.26909,0.39757,0.33333,0.33333,0,0.66667,0.33333,0.33333,0.33333,0,0.66667,0.33333,212212,2.18612207831259
"12",12,0,1718,17,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.35,"polka-dotted things",0.75,233,223,321,"green",212112,"True",3,1,2,26,23,6,0.33333,0.33333,0.33333,0.3125,0.21875,0.46875,NA,NA,NA,0.33333,0.33879,0.32788,0.33333,0.26868,0.39799,0.32788,0.33333,0.33879,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,0.33333,0.33333,212112,2.16138197334451
"13",13,0,1531,18,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.75,223,221,121,"striped",322112,"True",2,1,3,23,5,4,0.33333,0.33333,0.33333,NA,NA,NA,0.28571,0.28571,0.42857,0.28861,0.37806,0.33333,0.33333,0.33333,0.33333,0.25152,0.33333,0.41515,0,0.66667,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,322112,2.18967620540993
"14",14,0,652,19,"English","blue things",0.5,"red things",0.75,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,133,311,"cloud",212211,"True",1,3,2,10,25,3,NA,NA,NA,0.33333,0.33333,0.33333,0.28571,0.42857,0.28571,0.33918,0.33333,0.32749,0.39568,0.33333,0.27098,0.32599,0.41604,0.25797,0.33333,0.33333,0.33333,0.66667,0.33333,0,0.35714,0.64286,0,212211,2.19370157477632
"15",15,0,1148,20,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.75,"green things",0.3,232,333,333,"polka-dotted",321212,"True",2,1,3,17,27,27,0.33333,0.33333,0.33333,NA,NA,NA,0.32258,0.48387,0.19355,0.33333,0.41817,0.24849,0.33333,0.33333,0.33333,0.33333,0.41817,0.24849,0.33333,0.66667,0,0.33333,0.33333,0.33333,0.33333,0.66667,0,321212,2.16668066340545
