"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0,0,0,0.0601187416881553,0,0,0,0,0,0,0,0,0
"2",1,0,0,0.197299670727652,0,0,0,0,0,0,0,0,0
"3",2,0,0,0.19397996224682,0,0,0,0,0,0,0,0,0
"4",3,0,0,0.16725259189872,0,0,0,0,0,0,0,0,0
"5",4,0,0,0.191513136704683,0,0,0,0,0,0,0,0,0
"6",5,0,0,-0.0336601093504102,0,0,0,0,0,0,0,0,0
"7",6,0,0,0.226770145489334,0,0,0,0,0,0,0,0,0
"8",7,0,0,-0.13108672955995,0,0,0,0,0,0,0,0,0
"9",8,0,0,0.341100656855145,0,0,0,0,0,0,0,0,0
"10",9,0,0,0.0785245428884689,0,0,0,0,0,0,0,0,0
"11",10,0,0,-0.0113035872037823,0,0,0,0,0,0,0,0,0
"12",11,0,0,0.00553235692278754,0,0,0,0,0,0,0,0,0
"13",12,0,0,0.0212037652881325,0,0,0,0,0,0,0,0,0
"14",14,0,0,-0.135057126258196,0,0,0,0,0,0,0,0,0
"15",15,0,0,-0.348923225205542,0,0,0,0,0,0,0,0,0
"16",16,0,0,0.322003826538599,0,0,0,0,0,0,0,0,0
"17",17,0,0,0.189190065435974,0,0,0,0,0,0,0,0,0
"18",18,0,0,0.0209474452305929,0,0,0,0,0,0,0,0,0
"19",19,0,0,0.0410444017890326,0,0,0,0,0,0,0,0,0
"20",20,0,0,0.0145884883368205,0,0,0,0,0,0,0,0,0
"21",21,0,0,-0.231936816059461,0,0,0,0,0,0,0,0,0
"22",22,0,0,0.00908105826057047,0,0,0,0,0,0,0,0,0
"23",23,0,0,0.0439268443231894,0,0,0,0,0,0,0,0,0
"24",24,0,0,0.159125480347107,0,0,0,0,0,0,0,0,0
"25",25,0,0,-0.0732015563866774,0,0,0,0,0,0,0,0,0
"26",27,0,0,0.150846267780733,0,0,0,0,0,0,0,0,0
"27",28,0,0,0.0473728721234651,0,0,0,0,0,0,0,0,0
"28",29,0,0,-0.0977065101807896,0,0,0,0,0,0,0,0,0
"29",30,0,0,0.119764412657466,0,0,0,0,0,0,0,0,0
"30",31,0,0,-0.12753307404182,0,0,0,0,0,0,0,0,0
"31",32,0,0,0.00885158730503654,0,0,0,0,0,0,0,0,0
"32",33,0,0,-0.00803171844658617,0,0,0,0,0,0,0,0,0
"33",34,0,0,0.0212899034057364,0,0,0,0,0,0,0,0,0
"34",36,0,0,-0.302124068533035,0,0,0,0,0,0,0,0,0
"35",38,0,0,0.010410695939825,0,0,0,0,0,0,0,0,0
"36",39,0,0,-0.0554890752140379,0,0,0,0,0,0,0,0,0
"37",40,0,0,-0.250265777632359,0,0,0,0,0,0,0,0,0
"38",41,0,0,0.0547352307557574,0,0,0,0,0,0,0,0,0
"39",42,0,0,0.0649745182646505,0,0,0,0,0,0,0,0,0
"40",43,0,0,0.096593839697061,0,0,0,0,0,0,0,0,0
"41",44,0,0,0.086008804447494,0,0,0,0,0,0,0,0,0
"42",45,0,0,0.00842612872073555,0,0,0,0,0,0,0,0,0
"43",46,0,0,0.155828206472222,0,0,0,0,0,0,0,0,0
"44",47,0,0,-0.0381189616738112,0,0,0,0,0,0,0,0,0
"45",49,0,0,0.237104510243916,0,0,0,0,0,0,0,0,0
"46",51,0,0,0.00181294602347278,0,0,0,0,0,0,0,0,0
"47",52,0,0,-0.010823474578877,0,0,0,0,0,0,0,0,0
"48",53,0,0,-0.163456737727013,0,0,0,0,0,0,0,0,0
"49",54,0,0,0.0891667850172277,0,0,0,0,0,0,0,0,0
