"","workerid","utterance","response","feedback","object1","object2","object3","object1shape","object1pattern","object1color","object2shape","object2pattern","object2color","object3shape","object3pattern","object3color","preferenceDimension","Pref1","Pref2","Pref3"
"1",1,"red",3,"VeryGood","321","122","112","square","striped","blue","cloud","striped","red","cloud","plain","red","pattern","plain","striped","dotted"
"2",1,"square",2,"VeryGood","121","312","332","cloud","striped","blue","square","plain","red","square","dotted","red","pattern","plain","striped","dotted"
"3",1,"green",1,"VeryGood","313","122","323","square","plain","green","cloud","striped","red","square","striped","green","pattern","plain","striped","dotted"
"4",1,"circle",2,"VeryGood","113","212","232","cloud","plain","green","circle","plain","red","circle","dotted","red","pattern","plain","striped","dotted"
"5",1,"blue",1,"VeryGood","111","232","121","cloud","plain","blue","circle","dotted","red","cloud","striped","blue","pattern","plain","striped","dotted"
"6",1,"blue",1,"VeryGood","311","321","113","square","plain","blue","square","striped","blue","cloud","plain","green","pattern","plain","striped","dotted"
"7",1,"cloud",1,"VeryGood","112","132","211","cloud","plain","red","cloud","dotted","red","circle","plain","blue","pattern","plain","striped","dotted"
"8",1,"red",3,"VeryGood","322","233","312","square","striped","red","circle","dotted","green","square","plain","red","pattern","plain","striped","dotted"
"9",1,"green",1,"VeryGood","213","233","332","circle","plain","green","circle","dotted","green","square","dotted","red","pattern","plain","striped","dotted"
"10",1,"cloud",2,"VeryGood","231","113","133","circle","dotted","blue","cloud","plain","green","cloud","dotted","green","pattern","plain","striped","dotted"
"11",1,"cloud",3,"VeryGood","212","123","113","circle","plain","red","cloud","striped","green","cloud","plain","green","pattern","plain","striped","dotted"
"12",1,"green",3,"Good","323","132","333","square","striped","green","cloud","dotted","red","square","dotted","green","pattern","plain","striped","dotted"
"13",1,"blue",2,"VeryGood","132","311","321","cloud","dotted","red","square","plain","blue","square","striped","blue","pattern","plain","striped","dotted"
"14",1,"cloud",1,"VeryGood","112","323","122","cloud","plain","red","square","striped","green","cloud","striped","red","pattern","plain","striped","dotted"
"15",1,"blue",3,"VeryGood","122","331","311","cloud","striped","red","square","dotted","blue","square","plain","blue","pattern","plain","striped","dotted"
"16",1,"red",2,"Bad","122","321","132","cloud","striped","red","square","striped","blue","cloud","dotted","red","pattern","plain","striped","dotted"
"17",1,"square",1,"VeryGood","313","333","111","square","plain","green","square","dotted","green","cloud","plain","blue","pattern","plain","striped","dotted"
"18",1,"blue",1,"Good","231","221","323","circle","dotted","blue","circle","striped","blue","square","striped","green","pattern","plain","striped","dotted"
"19",1,"green",2,"Good","223","233","122","circle","striped","green","circle","dotted","green","cloud","striped","red","pattern","plain","striped","dotted"
"20",1,"cloud",3,"VeryGood","322","123","113","square","striped","red","cloud","striped","green","cloud","plain","green","pattern","plain","striped","dotted"
"21",2,"dotted",1,"VeryGood","331","332","122","square","dotted","blue","square","dotted","red","cloud","striped","red","color","green","blue","red"
"22",2,"circle",2,"VeryGood","323","233","232","square","striped","green","circle","dotted","green","circle","dotted","red","color","green","blue","red"
"23",2,"cloud",2,"VeryGood","232","113","112","circle","dotted","red","cloud","plain","green","cloud","plain","red","color","green","blue","red"
"24",2,"square",3,"VeryGood","332","211","331","square","dotted","red","circle","plain","blue","square","dotted","blue","color","green","blue","red"
"25",2,"circle",1,"Good","222","312","221","circle","striped","red","square","plain","red","circle","striped","blue","color","green","blue","red"
"26",2,"dotted",3,"Good","333","121","332","square","dotted","green","cloud","striped","blue","square","dotted","red","color","green","blue","red"
"27",2,"circle",2,"VeryGood","132","213","212","cloud","dotted","red","circle","plain","green","circle","plain","red","color","green","blue","red"
"28",2,"dotted",1,"Good","331","221","333","square","dotted","blue","circle","striped","blue","square","dotted","green","color","green","blue","red"
"29",2,"plain",2,"VeryGood","123","311","312","cloud","striped","green","square","plain","blue","square","plain","red","color","green","blue","red"
"30",2,"square",1,"VeryGood","323","112","321","square","striped","green","cloud","plain","red","square","striped","blue","color","green","blue","red"
"31",2,"dotted",2,"VeryGood","311","233","231","square","plain","blue","circle","dotted","green","circle","dotted","blue","color","green","blue","red"
"32",2,"square",1,"VeryGood","323","211","321","square","striped","green","circle","plain","blue","square","striped","blue","color","green","blue","red"
"33",2,"plain",2,"VeryGood","312","313","133","square","plain","red","square","plain","green","cloud","dotted","green","color","green","blue","red"
"34",2,"cloud",1,"VeryGood","113","112","321","cloud","plain","green","cloud","plain","red","square","striped","blue","color","green","blue","red"
"35",2,"circle",3,"VeryGood","222","111","223","circle","striped","red","cloud","plain","blue","circle","striped","green","color","green","blue","red"
"36",2,"cloud",1,"VeryGood","111","112","222","cloud","plain","blue","cloud","plain","red","circle","striped","red","color","green","blue","red"
"37",2,"plain",1,"VeryGood","213","323","212","circle","plain","green","square","striped","green","circle","plain","red","color","green","blue","red"
"38",2,"striped",3,"VeryGood","133","221","223","cloud","dotted","green","circle","striped","blue","circle","striped","green","color","green","blue","red"
"39",2,"square",2,"VeryGood","123","331","332","cloud","striped","green","square","dotted","blue","square","dotted","red","color","green","blue","red"
"40",2,"circle",3,"VeryGood","232","121","233","circle","dotted","red","cloud","striped","blue","circle","dotted","green","color","green","blue","red"
"41",3,"circle",1,"VeryGood","212","333","232","circle","plain","red","square","dotted","green","circle","dotted","red","pattern","plain","dotted","striped"
"42",3,"green",1,"VeryGood","313","231","333","square","plain","green","circle","dotted","blue","square","dotted","green","pattern","plain","dotted","striped"
"43",3,"blue",2,"VeryGood","122","211","221","cloud","striped","red","circle","plain","blue","circle","striped","blue","pattern","plain","dotted","striped"
"44",3,"cloud",1,"VeryGood","111","223","121","cloud","plain","blue","circle","striped","green","cloud","striped","blue","pattern","plain","dotted","striped"
"45",3,"red",1,"VeryGood","332","322","123","square","dotted","red","square","striped","red","cloud","striped","green","pattern","plain","dotted","striped"
"46",3,"red",3,"VeryGood","211","332","312","circle","plain","blue","square","dotted","red","square","plain","red","pattern","plain","dotted","striped"
"47",3,"red",2,"VeryGood","121","312","322","cloud","striped","blue","square","plain","red","square","striped","red","pattern","plain","dotted","striped"
"48",3,"green",1,"VeryGood","313","212","323","square","plain","green","circle","plain","red","square","striped","green","pattern","plain","dotted","striped"
"49",3,"blue",1,"VeryGood","311","122","321","square","plain","blue","cloud","striped","red","square","striped","blue","pattern","plain","dotted","striped"
"50",3,"circle",3,"VeryGood","221","313","231","circle","striped","blue","square","plain","green","circle","dotted","blue","pattern","plain","dotted","striped"
"51",3,"square",1,"VeryGood","311","233","321","square","plain","blue","circle","dotted","green","square","striped","blue","pattern","plain","dotted","striped"
"52",3,"square",2,"VeryGood","213","311","321","circle","plain","green","square","plain","blue","square","striped","blue","pattern","plain","dotted","striped"
"53",3,"red",1,"VeryGood","112","122","231","cloud","plain","red","cloud","striped","red","circle","dotted","blue","pattern","plain","dotted","striped"
"54",3,"square",2,"VeryGood","331","311","222","square","dotted","blue","square","plain","blue","circle","striped","red","pattern","plain","dotted","striped"
"55",3,"cloud",2,"VeryGood","313","112","122","square","plain","green","cloud","plain","red","cloud","striped","red","pattern","plain","dotted","striped"
"56",3,"cloud",2,"VeryGood","333","112","132","square","dotted","green","cloud","plain","red","cloud","dotted","red","pattern","plain","dotted","striped"
"57",3,"red",1,"Good","322","231","332","square","striped","red","circle","dotted","blue","square","dotted","red","pattern","plain","dotted","striped"
"58",3,"circle",1,"VeryGood","231","221","322","circle","dotted","blue","circle","striped","blue","square","striped","red","pattern","plain","dotted","striped"
"59",3,"green",1,"VeryGood","213","223","331","circle","plain","green","circle","striped","green","square","dotted","blue","pattern","plain","dotted","striped"
"60",3,"square",2,"VeryGood","333","313","131","square","dotted","green","square","plain","green","cloud","dotted","blue","pattern","plain","dotted","striped"
