"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",0,0.19358613845912,0.140946719643429,5.8811045049607e-05,99.999955221126,0,100,0.199710681204474,0.01,0.208708330836928,0.639267688018847,0.195878572895977,0.00218917862502637,0.175509731910566
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",6,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",7,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",8,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",9,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",10,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",11,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",13,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",14,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",15,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",16,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",17,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",18,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",19,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",20,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",21,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",22,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",23,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",24,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",26,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",27,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",28,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",29,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",30,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",32,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",33,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",34,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",35,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",36,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",37,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",38,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",39,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",40,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",41,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",42,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",45,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",46,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",47,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",48,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",49,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",50,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",51,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",52,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",53,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",54,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",56,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",57,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",58,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",59,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",60,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",61,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",62,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",63,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",64,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",65,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",66,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",67,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",69,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",70,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",71,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",72,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",73,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",74,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",75,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",76,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",77,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",78,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",79,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",80,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",81,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",82,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",83,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",84,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",85,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",86,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",87,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",88,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",89,0,0,0,0,0,0,0,0,0,0,0,0,0
