"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0,0,-0.0574332900875499,0,0,0,0,0,0,0
"2",2,0,0,0.0686407570992779,0,0,0,0,0,0,0
"3",3,0,0,0.101016216310863,0,0,0,0,0,0,0
"4",4,0,0,0.0166063259147259,0,0,0,0,0,0,0
"5",6,0,0,0.00579428874788526,0,0,0,0,0,0,0
"6",7,0,0,-0.0538584486790839,0,0,0,0,0,0,0
"7",9,0,0,0.0158272002185565,0,0,0,0,0,0,0
"8",10,0,0,-0.179820514605953,0,0,0,0,0,0,0
"9",11,0,0,-0.457158759339398,0,0,0,0,0,0,0
"10",12,0,0,0.0699350117029305,0,0,0,0,0,0,0
"11",13,0,0,0.0485698913232223,0,0,0,0,0,0,0
"12",14,0,0,0.0117935097558527,0,0,0,0,0,0,0
"13",15,0,0,-0.000851000853369237,0,0,0,0,0,0,0
"14",16,0,0,0.0144190749272733,0,0,0,0,0,0,0
"15",17,0,0,-0.215499260967542,0,0,0,0,0,0,0
"16",18,0,0,0.00276542918255795,0,0,0,0,0,0,0
"17",19,0,0,0.117575345238397,0,0,0,0,0,0,0
"18",20,0,0,0.0277020334313638,0,0,0,0,0,0,0
"19",21,0,0,-0.203211065672055,0,0,0,0,0,0,0
"20",23,0,0,0.00600492232171628,0,0,0,0,0,0,0
"21",24,0,0,-0.209631617730838,0,0,0,0,0,0,0
"22",25,0,0,-0.0794486875684031,0,0,0,0,0,0,0
"23",26,0,0,-0.211654390151138,0,0,0,0,0,0,0
"24",27,0,0,0.0874030566819169,0,0,0,0,0,0,0
"25",28,0,0,0.0438883441396765,0,0,0,0,0,0,0
"26",29,0,0,-0.164088549165841,0,0,0,0,0,0,0
"27",30,0,0,-0.57175818583399,0,0,0,0,0,0,0
"28",31,0,0,0.0650384899421021,0,0,0,0,0,0,0
"29",32,0,0,0.0539607831926601,0,0,0,0,0,0,0
"30",33,0,0,0.0659474510322813,0,0,0,0,0,0,0
"31",34,0,0,0.000553812979548158,0,0,0,0,0,0,0
"32",35,0,0,-7.10782414803575,0,0,0,0,0,0,0
"33",36,0,0,-7.10736694310271,0,0,0,0,0,0,0
"34",37,0,0,0.0143632791496951,0,0,0,0,0,0,0
"35",38,0,0,0.167200887888407,0,0,0,0,0,0,0
"36",39,0,0,0.0146397264946494,0,0,0,0,0,0,0
"37",40,0,0,0.0597586154456006,0,0,0,0,0,0,0
"38",42,0,0,-0.386945988282832,0,0,0,0,0,0,0
"39",43,0,0,-0.19167185624873,0,0,0,0,0,0,0
"40",44,0,0,-0.0019145117126544,0,0,0,0,0,0,0
"41",45,0,0,-0.0974953621171985,0,0,0,0,0,0,0
"42",46,0,0,0.536899367164349,0,0,0,0,0,0,0
"43",47,0,0,-0.222140070636033,0,0,0,0,0,0,0
"44",49,0,0,-0.41872799646567,0,0,0,0,0,0,0
"45",50,0,0,-0.189849434850844,0,0,0,0,0,0,0
"46",51,0,0,0.136696890225862,0,0,0,0,0,0,0
"47",52,0,0,0.00485869124423333,0,0,0,0,0,0,0
"48",53,0,0,0.211818113013022,0,0,0,0,0,0,0
"49",54,0,0,-0.189986189678143,0,0,0,0,0,0,0
"50",55,0,0,-0.224317317167034,0,0,0,0,0,0,0
"51",56,0,0,-0.142165283041239,0,0,0,0,0,0,0
"52",57,0,0,0.243024281939828,0,0,0,0,0,0,0
"53",58,0,0,0.0465298400456488,0,0,0,0,0,0,0
"54",59,0,0,-0.0888658881471253,0,0,0,0,0,0,0
"55",60,0,0,0.0523763120084519,0,0,0,0,0,0,0
"56",61,0,0,0.0387412326491486,0,0,0,0,0,0,0
"57",62,0,0,0.00161968035276894,0,0,0,0,0,0,0
"58",63,0,0,0.0100376586961689,0,0,0,0,0,0,0
"59",64,0,0,-0.170342240631371,0,0,0,0,0,0,0
"60",66,0,0,0.0692927234460479,0,0,0,0,0,0,0
"61",67,0,0,0.00638278005766488,0,0,0,0,0,0,0
"62",68,0,0,-0.433553368664502,0,0,0,0,0,0,0
"63",69,0,0,-0.0597825790556267,0,0,0,0,0,0,0
"64",70,0,0,0.0370163150227428,0,0,0,0,0,0,0
"65",71,0,0,0.0242083988319935,0,0,0,0,0,0,0
"66",72,0,0,-0.067855947857169,0,0,0,0,0,0,0
"67",73,0,0,0.0525067281914121,0,0,0,0,0,0,0
"68",74,0,0,0.0187491317770187,0,0,0,0,0,0,0
"69",75,0,0,-0.0147325376819733,0,0,0,0,0,0,0
"70",76,0,0,-0.151288555850952,0,0,0,0,0,0,0
"71",77,0,0,-0.257785013754733,0,0,0,0,0,0,0
"72",78,0,0,0.048506095839028,0,0,0,0,0,0,0
"73",79,0,0,0.0678630924242601,0,0,0,0,0,0,0
"74",80,0,0,-0.029209657913837,0,0,0,0,0,0,0
"75",81,0,0,-0.123393649649362,0,0,0,0,0,0,0
"76",82,0,0,0.0683527292135279,0,0,0,0,0,0,0
"77",83,0,0,0.0582569726129482,0,0,0,0,0,0,0
"78",84,0,0,-7.08946491645147,0,0,0,0,0,0,0
"79",85,0,0,0.226134356925541,0,0,0,0,0,0,0
"80",86,0,0,0.0549139244835529,0,0,0,0,0,0,0
"81",87,0,0,0.0514572429982695,0,0,0,0,0,0,0
"82",88,0,0,0.211547299800656,0,0,0,0,0,0,0
