workerid;Uniform-KL;P-only-KL;L-only-KL;OL-KL;PL-KL;POL-KL;PrefOnly;LambdaOnly;Obed(O.&lambda);Lambda(O&L);Pref(P&L);Lambda(P&L);Pref(P,O,L);Obed(P&O&L);Lambda(P,O,L)
23;0.025470641;0.025064822;0.149342718;0.024616317;0.024933741;0.023821336;6.41273759;0.00600097;8.14031054;-10;6.34704727;-10;0.00060846;1.13769178;-0.9299267
63;0.030148028;0.030148028;0.183765918;0.029377625;0.030148045;0.030148032;9984765461;0.01002742;15.4208146;10;393806.903;-10;725.527162;883.426949;-10
62;0.039939937;0.039939937;0.155049362;0.039625052;0.039939938;0.038797001;9934648482;0.00162131;10.5337562;7.33818412;2904874.56;-10;1.40353127;0.42841749;-10
6;0.056929049;0.056665769;0.299651619;0.055727938;0.05614992;0.054896774;11.4184622;0.00578898;3.18614822;5.45895293;5.34735009;-10;1.63467528;0.19531613;-10
15;0.088481473;0.088006758;0.274551244;0.086013519;0.083510335;0.081444261;8.11974376;-0.0008486;5.15252559;-10;2.50664253;-10;1.3927951;0.13951631;-10
18;0.804338971;0.804338971;1.174809072;0.804339184;0.804339049;0.804338975;9996133598;0.00277025;172193.09;10;692140.159;-10;2264.24626;2713.54551;10
37;1.199802597;1.199802597;1.645222153;0.997332878;1.199802675;1.199802601;9998585496;0.0143637;0.50478778;10;1492498.28;-10;3057.17606;4452.06864;-10
31;2.103078412;2.103078412;2.14523736;2.059045103;2.103078505;2.103078419;9999153165;0.06497642;1.94436784;10;1868040.7;-10;3169.46358;3313.14032;10
50;4.757120864;4.737923289;2.434319371;2.434319371;2.320073297;4.61700277;2.24947522;-0.1896739;0;-0.1896734;0.11863916;-10;0;0.10790277;0.83002771
44;3.960725517;3.960725517;4.131799902;3.622444118;3.960725624;3.956884588;9989809617;-0.001923;0.10541087;4.12073302;132536.882;-9.9999994;0;3.55520223;-10
35;26.95358168;26.25515629;20.12542923;20.12542923;20.12542923;25.33137974;0.2328733;-7.1080028;0;-10;0;-5.420881;0;0.00205782;0.85222144
36;24.7563571;24.33937222;19.18553412;19.18553412;19.18553412;23.61668331;0.31321528;-7.1074848;0;-10;0;-5.3275258;0;1.32E-05;0.83528814
80;0.532853676;0.475249576;0.372023491;0.385373313;0.309130668;0.385373352;0.70506682;-0.0291786;0.01271848;2.91695268;0.32816646;-4.3716361;0;0.01273088;2.91699851
69;0.855014086;0.804220483;0.543762485;0.579539171;0.532187648;0.655316419;0.81758568;-0.0597565;0.00063267;-8.7552413;0.19552683;-3.9221324;0;-2.78E-17;-4.1370295
7;0.715282959;0.661790332;0.258448741;0.287009701;0.239465552;0.214907907;0.90808883;-0.0538246;0.01180351;-10;0.15044294;-3.3062368;0.00390846;0.01243459;-0.7468565
84;4.98153586;4.884589647;0.536081754;0.536081754;0.536081757;4.503672697;0.95071799;-7.1257979;0;-10;0;-3.1889463;0;0.03378324;0.8861404
72;2.261447503;2.254681874;1.718094867;1.888020095;1.738625072;1.744235685;3.01784116;-0.0678241;0.00303117;3.26068736;0.11199103;-3.0127584;0;0.00054544;-10
26;3.76424666;3.666647746;1.492118935;2.543248122;1.478477023;2.543687419;0.81910878;-0.2115579;0.00038046;-10;0.00066032;-1.6013632;0;0.00052582;-10
10;3.159688511;3.1066138;1.098609521;1.872154702;1.15071808;1.871242958;1.1499406;-0.1797474;0.00081468;-10;0.00109803;-1.5132805;0;0.00045636;-10
81;2.169098489;2.10966014;0.724519089;1.148071906;0.749463939;0.724519016;0.89381858;-0.1233229;-8.67E-19;-10;0.00155924;-1.1184024;0;0;-0.123361
45;1.871115038;1.847621185;0.724537886;1.747244272;0.744051691;0.671885287;1.86770194;-0.0974676;2.78E-17;-0.313526;0.00310073;-1.016043;0.00011087;0.00080734;-0.737944
59;1.877508833;1.754104413;0.867092529;0.867092527;0.886501338;1.007051051;0.55680664;-0.0888374;0;-0.0888437;0.0014909;-0.7960277;0;0.00095172;-10
25;11.67504431;11.63131569;10.96145851;10.82178747;11.00070481;10.96145851;0.88578841;-0.079434;0.00040027;-10;0.00185226;-0.7209745;0;0;-0.079433
30;6.736667088;6.546988582;1.814070264;5.888890828;1.814070264;1.812776868;0.59102658;-0.5713541;0.00091052;0.03972313;0;-0.5713545;0.00219234;0;-5.539414
1;1.960409233;1.83760606;1.230000377;1.243026301;1.23218406;1.632361769;0.48091716;-0.0574118;-8.67E-19;-10;0.00210803;-0.5524328;0;0.0206509;0.83708937
11;6.980637027;6.736724548;1.860821912;1.860821912;1.860821912;6.166873233;0.4892692;-0.4566871;0;-0.4566761;0;-0.456676;0;0.0167088;0.85124773
68;7.690514618;7.390192058;2.706848383;2.706848383;2.706848383;2.753120388;0.40845143;-0.4332556;0;-0.4332532;0;-0.4332526;0.00174819;0;-3.9784915
