"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode"
"1",1,0,1325,6,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,321,332,231,"striped",122122,"False",2,1,3,6,18,8,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,NA,0.45003,0.54997,NA,0.54997,0.45003,0.54997,0.45003,NA,NA,0.41901,0.58099,NA,0.58099,0.41901,0.58099,0.41901,NA,122122
"2",2,0,2212,7,"English","solid things",0.5,"striped things",0.85,"polka-dotted things",0.3,"blue things",0.5,"red things",0.5,"green things",0.5,223,213,233,"circle",323211,"True",1,2,3,23,20,26,NA,NA,NA,0.30303,0.51515,0.18182,0.33333,0.33333,0.33333,NA,1,NA,0.22637,0.54725,0.22637,NA,NA,1,NA,1,NA,0.31746,0.36508,0.31746,NA,NA,1,323211
"3",3,0,1772,8,"English","clouds",0.5,"circles",0.8,"squares",0.25,"blue things",0.5,"red things",0.5,"green things",0.5,221,221,321,"striped",322132,"True",2,1,3,5,5,6,0.32258,0.51613,0.16129,NA,NA,NA,0.33333,0.33333,0.33333,NA,0.53697,0.46303,NA,1,NA,1,NA,NA,NA,0.56385,0.43615,NA,1,NA,1,NA,NA,323221
"4",4,0,1026,9,"English","clouds",0.7,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.7,"polka-dotted things",0.5,122,232,133,"red",212212,"True",3,1,2,13,17,25,0.41176,0.29412,0.29412,0.29412,0.41176,0.29412,NA,NA,NA,0.54062,0.45938,NA,NA,0.54062,0.45938,NA,0.54062,0.45938,0.57309,0.42691,NA,NA,0.57309,0.42691,NA,0.57309,0.42691,212212
"5",5,0,1540,10,"English","clouds",0.35,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.85,"polka-dotted things",0.5,323,313,113,"green",322112,"True",3,1,2,24,21,19,0.25926,0.37037,0.37037,0.27027,0.45946,0.27027,NA,NA,NA,0.46041,NA,0.53959,0.46041,0.53959,NA,NA,NA,1,0.42818,NA,0.57182,0.42818,0.57182,NA,NA,NA,1,322112
"6",6,0,571,11,"English","blue things",0.5,"red things",0.75,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,111,311,"cloud",213212,"True",1,3,2,10,1,3,NA,NA,NA,0.33333,0.33333,0.33333,0.28571,0.42857,0.28571,0.54372,NA,0.45628,1,NA,NA,0.45628,0.54372,NA,0.57194,NA,0.42806,1,NA,NA,0.42806,0.57194,NA,213212
"7",7,0,547,12,"English","clouds",0.7,"circles",0.5,"squares",0.35,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,132,133,331,"red",112132,"False",3,1,2,16,25,9,0.45161,0.32258,0.22581,0.33333,0.33333,0.33333,NA,NA,NA,0.54094,NA,0.45906,NA,NA,1,0.22953,0.54094,0.22953,0.56861,NA,0.43139,NA,NA,1,0.2987,0.4026,0.2987,113221
"8",8,0,2122,13,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,312,221,233,"red",111112,"False",3,1,2,12,5,26,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,NA,0.44279,0.55721,0.55721,0.22139,0.22139,0.22139,0.55721,0.22139,NA,0.42306,0.57694,0.42569,0.28716,0.28716,0.28716,0.42569,0.28716,111211
"9",9,0,1393,14,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,221,331,111,"striped",113211,"False",2,3,1,5,9,1,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.22259,0.55483,0.22259,0.22259,0.55483,0.22259,1,NA,NA,0.28716,0.42569,0.28716,0.28716,0.42569,0.28716,1,NA,NA,113211
"10",10,0,607,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,213,113,322,"circle",112121,"False",1,2,3,20,19,15,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.22502,0.54997,0.22502,0.54997,0.45003,NA,NA,0.45003,0.54997,0.2987,0.4026,0.2987,0.58099,0.41901,NA,NA,0.41901,0.58099,112121
