"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","numFeatures","target","obj1","obj2","obj3","utterance","itemCode","condition","ambiguous","trial_type","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"1",1,0,333,6,"English","clouds",0,"circles",1,"squares",0,"blue things",0.5,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,231,NA,331,111,"polka-dotted",213211,NA,"True","prior_inference",2,1,3,8,9,1,0,1,0,NA,NA,NA,1,0,0,0.33333,0.63775,0.02892,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,1,0,0,0.33333,0.66667,0.33333,0.33333,0.33333,213211,0
"2",2,0,364,7,"English","blue things",0,"red things",0,"green things",0.5,"clouds",0.75,"circles",0,"squares",0,NA,NA,NA,NA,NA,NA,NA,133,NA,113,213,"polka-dotted",122132,NA,"False","prior_inference",2,3,1,25,19,20,1,0,0,NA,NA,NA,0,0,1,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0,0.33333,0.66667,0.33333,0.33333,0.33333,123221,0
"3",3,0,337,8,"English","solid things",0,"striped things",0,"polka-dotted things",0,"blue things",0,"red things",0.9,"green things",0,NA,NA,NA,NA,NA,NA,NA,112,NA,113,211,"cloud",213211,NA,"True","prior_inference",1,2,3,10,19,2,NA,NA,NA,0.33333,0.33333,0.33333,0,1,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.63775,0.02892,0.66667,0,0.33333,0.33333,0.33333,0.33333,0,1,0,213211,0
"4",4,0,1370,9,"English","blue things",0,"red things",0,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,312,NA,132,222,"square",113211,NA,"False","prior_inference",1,3,2,12,16,14,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,1,1,0,0,0.33333,0.33333,0.33333,113211,0
"5",5,0,1861,10,"English","blue things",0,"red things",0,"green things",0,"clouds",0,"circles",0,"squares",0,NA,NA,NA,NA,NA,NA,NA,122,NA,232,232,"striped",123212,NA,"False","prior_inference",2,3,1,13,17,17,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.33333,0.66667,0,0.33333,0.33333,0.33333,123212,0
"6",6,0,181,11,"English","solid things",0,"striped things",0,"polka-dotted things",0.75,"blue things",0,"red things",0.3,"green things",0,NA,NA,NA,NA,NA,NA,NA,232,NA,222,222,"circle",323212,NA,"True","prior_inference",1,2,3,17,14,14,NA,NA,NA,0,0,1,0,1,0,0.33333,0.33333,0.33333,0.33333,0.02892,0.63775,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,0.33333,0.33333,323212,0
"7",7,0,770,12,"English","clouds",0.8,"circles",0,"squares",0,"solid things",0,"striped things",0.8,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,123,NA,213,211,"green",211212,NA,"True","prior_inference",3,1,2,22,20,2,1,0,0,0,1,0,NA,NA,NA,0.61532,0.05135,0.33333,0.05135,0.61532,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0,0.66667,0.33333,0,0.33333,0.66667,211212,0
"8",8,0,734,13,"English","blue things",0,"red things",0,"green things",0.8,"solid things",0,"striped things",0,"polka-dotted things",0.85,NA,NA,NA,NA,NA,NA,NA,233,NA,213,131,"circle",212122,NA,"True","prior_inference",1,3,2,26,20,7,NA,NA,NA,0,0,1,0,0,1,0.33333,0.33333,0.33333,0.03001,0.33333,0.63665,0.33333,0.33333,0.33333,0,0.66667,0.33333,0,0.33333,0.66667,0,0.33333,0.66667,212122,0
"9",9,0,1413,14,"English","clouds",0,"circles",0,"squares",0.9,"blue things",0,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,321,NA,121,223,"striped",322111,NA,"True","prior_inference",2,1,3,6,4,23,0,0,1,NA,NA,NA,0.33333,0.33333,0.33333,0.04158,0.04158,0.91685,0.33333,0.33333,0.33333,0.61345,0.33333,0.05322,0,0,1,0.33333,0.33333,0.33333,0.66667,0.33333,0,322111,0
"10",10,0,2127,15,"English","blue things",0,"red things",0,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,123,NA,331,211,"cloud",111112,NA,"False","prior_inference",1,3,2,22,9,2,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,1,0,0,0,1,0,0,0.33333,0.66667,111211,0
"21",21,1,1396,6,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,331,NA,211,121,"square",113211,NA,"False","prior_inference",1,3,2,9,2,4,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,1,0,0,1,0.33333,0.33333,0.33333,113211,0
"22",22,1,1924,7,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,131,NA,313,312,"blue",111212,NA,"False","prior_inference",3,2,1,7,21,12,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.33333,0,0,0.33333,0.66667,1,0,0,111212,0
"23",23,1,170,8,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",1,"striped things",0,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,212,NA,222,222,"circle",323212,NA,"True","prior_inference",1,3,2,11,14,14,NA,NA,NA,0.66667,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.64095,0.02572,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.33333,0.33333,0.33333,323212,0
"24",24,1,257,9,"English","solid things",0,"striped things",1,"polka-dotted things",0.5,"blue things",0.75,"red things",0.5,"green things",0,NA,NA,NA,NA,NA,NA,NA,121,NA,113,321,"cloud",212222,NA,"True","prior_inference",1,2,3,4,19,6,NA,NA,NA,0,0.66667,0.33333,0.6,0.4,0,0.33333,0.33333,0.33333,0.0266,0.64007,0.33333,0.64007,0.33333,0.0266,0.66667,0.33333,0,0,0.66667,0.33333,0.66667,0.33333,0,212222,0
"25",25,1,2091,10,"English","solid things",1,"striped things",0,"polka-dotted things",0,"blue things",1,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,311,NA,323,332,"square",321111,NA,"True","prior_inference",1,2,3,3,24,18,NA,NA,NA,1,0,0,1,0,0,0.33333,0.33333,0.33333,0.92571,0.03714,0.03714,0.92571,0.03714,0.03714,0.33333,0.33333,0.33333,1,0,0,1,0,0,321111,0
"26",26,1,482,11,"English","solid things",0.5,"striped things",0.75,"polka-dotted things",0,"clouds",0.75,"circles",0.5,"squares",0,NA,NA,NA,NA,NA,NA,NA,121,NA,331,213,"blue",211111,NA,"True","prior_inference",3,2,1,4,9,20,0.6,0.4,0,0.4,0.6,0,NA,NA,NA,0.64095,0.33333,0.02572,0.33333,0.64095,0.02572,0.33333,0.33333,0.33333,1,0,0,0,1,0,0.66667,0.33333,0,211111,0
"27",27,1,1095,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,123,NA,321,221,"cloud",113212,NA,"False","prior_inference",1,3,2,22,6,5,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,1,0,0,0.33333,0.33333,0.33333,0,0.33333,0.66667,113212,0
"28",28,1,962,13,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,232,NA,321,323,"circle",121112,NA,"False","prior_inference",1,2,3,17,6,24,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0,0.66667,0,1,0,121211,0
"29",29,1,1513,14,"English","solid things",0,"striped things",0.5,"polka-dotted things",0.2,"clouds",1,"circles",0.2,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,133,NA,233,213,"green",322112,NA,"True","prior_inference",3,2,1,25,26,20,0.58824,0.11765,0.29412,0,0.71429,0.28571,NA,NA,NA,0.64095,0.02572,0.33333,0.04775,0.33333,0.61891,0.33333,0.33333,0.33333,0.66667,0,0.33333,0,0.33333,0.66667,0.33333,0.33333,0.33333,322112,0
"30",30,1,578,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.95,"blue things",0.5,"red things",0.5,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,132,NA,112,212,"cloud",213212,NA,"True","prior_inference",1,2,3,16,10,11,NA,NA,NA,0.25641,0.25641,0.48718,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.04622,0.33333,0.62044,0.33333,0.33333,0.33333,0.66667,0,0.33333,0,0.33333,0.66667,0.33333,0.33333,0.33333,213212,0
"41",41,2,198,6,"English","clouds",0.9,"circles",0.3,"squares",0.5,"solid things",0.3,"striped things",0.9,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,123,NA,223,223,"green",323212,NA,"True","prior_inference",3,1,2,22,23,23,0.52941,0.17647,0.29412,0.17647,0.52941,0.29412,NA,NA,NA,0.58065,0.08602,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323212,0
"42",42,2,70,7,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,233,NA,113,122,"circle",122111,NA,"False","prior_inference",1,2,3,26,19,13,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,0,0,1,0.33333,0,0.66667,122111,0
