"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","numFeatures","target","obj1","obj2","obj3","utterance","itemCode","condition","ambiguous","trial_type","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"1",1,0,333,6,"English","clouds",0,"circles",1,"squares",0,"blue things",0.5,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,231,NA,331,111,"polka-dotted",213211,NA,"True","prior_inference",2,1,3,8,9,1,0,1,0,NA,NA,NA,1,0,0,0.23188,0.65839,0.10973,0.25097,0.33333,0.41569,0.33333,0.33333,0.33333,0.22745,0.7405,0.03205,0.24707,0.33333,0.4196,0.33333,0.33333,0.33333,213211,0
"2",2,0,364,7,"English","blue things",0,"red things",0,"green things",0.5,"clouds",0.75,"circles",0,"squares",0,NA,NA,NA,NA,NA,NA,NA,133,NA,113,213,"polka-dotted",122132,NA,"False","prior_inference",2,3,1,25,19,20,1,0,0,NA,NA,NA,0,0,1,0.44735,0.21932,0.33333,0.19228,0.33333,0.47439,0.33333,0.33333,0.33333,0.46547,0.20119,0.33333,0.19307,0.33333,0.4736,0.33333,0.33333,0.33333,123221,0
"3",3,0,337,8,"English","solid things",0,"striped things",0,"polka-dotted things",0,"blue things",0,"red things",0.9,"green things",0,NA,NA,NA,NA,NA,NA,NA,112,NA,113,211,"cloud",213211,NA,"True","prior_inference",1,2,3,10,19,2,NA,NA,NA,0.33333,0.33333,0.33333,0,1,0,0.41569,0.25097,0.33333,0.33333,0.33333,0.33333,0.23188,0.65839,0.10973,0.4196,0.24707,0.33333,0.33333,0.33333,0.33333,0.22745,0.7405,0.03205,213211,0
"4",4,0,1370,9,"English","blue things",0,"red things",0,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,312,NA,132,222,"square",113211,NA,"False","prior_inference",1,3,2,12,16,14,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.22385,0.22385,0.55229,0.55229,0.22385,0.22385,0.33333,0.33333,0.33333,0.22457,0.22457,0.55087,0.55087,0.22457,0.22457,0.33333,0.33333,0.33333,113211,0
"5",5,0,1861,10,"English","blue things",0,"red things",0,"green things",0,"clouds",0,"circles",0,"squares",0,NA,NA,NA,NA,NA,NA,NA,122,NA,232,232,"striped",123212,NA,"False","prior_inference",2,3,1,13,17,17,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.47439,0.19228,0.33333,0.33333,0.47439,0.19228,0.33333,0.33333,0.33333,0.4736,0.19307,0.33333,0.33333,0.4736,0.19307,0.33333,0.33333,0.33333,123212,0
"6",6,0,181,11,"English","solid things",0,"striped things",0,"polka-dotted things",0.75,"blue things",0,"red things",0.3,"green things",0,NA,NA,NA,NA,NA,NA,NA,232,NA,222,222,"circle",323212,NA,"True","prior_inference",1,2,3,17,14,14,NA,NA,NA,0,0,1,0,1,0,0.33333,0.33333,0.33333,0.33333,0.09524,0.57143,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.02766,0.63901,0.33333,0.33333,0.33333,323212,0
"7",7,0,770,12,"English","clouds",0.8,"circles",0,"squares",0,"solid things",0,"striped things",0.8,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,123,NA,213,211,"green",211212,NA,"True","prior_inference",3,1,2,22,20,2,1,0,0,0,1,0,NA,NA,NA,0.54366,0.12301,0.33333,0.12301,0.54366,0.33333,0.25097,0.33333,0.41569,0.61965,0.04701,0.33333,0.04701,0.61965,0.33333,0.24707,0.33333,0.4196,211212,0
"8",8,0,734,13,"English","blue things",0,"red things",0,"green things",0.8,"solid things",0,"striped things",0,"polka-dotted things",0.85,NA,NA,NA,NA,NA,NA,NA,233,NA,213,131,"circle",212122,NA,"True","prior_inference",1,3,2,26,20,7,NA,NA,NA,0,0,1,0,0,1,0.25097,0.41569,0.33333,0.11591,0.33333,0.55075,0.25097,0.33333,0.41569,0.24707,0.4196,0.33333,0.03013,0.33333,0.63654,0.24707,0.33333,0.4196,212122,0
"9",9,0,1413,14,"English","clouds",0,"circles",0,"squares",0.9,"blue things",0,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,321,NA,121,223,"striped",322111,NA,"True","prior_inference",2,1,3,6,4,23,0,0,1,NA,NA,NA,0.33333,0.33333,0.33333,0.125,0.125,0.75,0.33333,0.33333,0.33333,0.51852,0.33333,0.14815,0.03983,0.03983,0.92033,0.33333,0.33333,0.33333,0.61559,0.33333,0.05108,322111,0
"10",10,0,2127,15,"English","blue things",0,"red things",0,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,123,NA,331,211,"cloud",111112,NA,"False","prior_inference",1,3,2,22,9,2,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.55229,0.22385,0.22385,0.22385,0.55229,0.22385,0.19228,0.33333,0.47439,0.55087,0.22457,0.22457,0.22457,0.55087,0.22457,0.19307,0.33333,0.4736,111211,0
