"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0,0,0,0.00761368499706733,1408356.44434917,-9.99999895246656,1.43700488841578,10,0,0,1504.75623766591,1338.16212117004,-10
"2",1,0,0,-0.129042048988751,625507.598729816,-10,0.207275295356448,-10,0,0,1683.50662069103,1757.49031129706,-10
"3",2,0,0,-0.0990810153679316,141084151.900389,-10,0.190577183283307,-7.17317284655495,0,0,1603.53869936552,1639.1008251939,-10
"4",3,0,0,-0.00669421320123025,17.4250397440368,0.20000031277075,7.45570352354507,-0.296005188387106,0,0,7.45569324570158,0,-0.280276679887808
"5",4,0,0,-0.011795925839919,436552.608725523,-9.99999980563557,276923.261404757,-9.99999842980953,0,0,970.120572099058,1058.60864782668,-10
"6",6,0,0,-0.0826289771350757,6568707.9185467,-10,0.00133148056757841,-0.727293357231958,0,0,793.10269552202,850.272398261982,-10
"7",7,0,0,-0.0126063743766973,438054.240295833,10,290728.452057146,10,0,0,1067.07747294269,1188.7120728471,-10
"8",8,0,0,-0.00385220790877585,12.2530106722987,0.200000067419256,4.40325798104078,10,0,0,4.40325701614561,0,10
"9",9,0,0,0.0029834828404086,1.18559046280363,0.200000000026979,1.85615820064533,10,0,0,0.000631864500675594,0.474136602981749,1.13127224959583
"10",10,0,0,0.0095529244084782,621950.350038147,10,2248083.43112702,10,0,0,2303.7656492449,2419.17290609364,-10
"11",11,0,0,0.0740948300666294,0.000687224795116772,0.200000000000166,0.00179917498777597,0.695910020020116,0,0,0.000949041357343133,0.00445280031850143,0.855325993334081
"12",12,0,0,0.150973671408198,0,0.150990652445436,0.167359382387448,10,0,0,0.000775102151547052,0.000775102151547052,1.30285713014312
"13",13,0,0,0.119386370417469,0,0.119390532732861,0.0073737088388825,1.62415396339238,0,0,0.000734914618004878,0.000734914618004878,0.951329784343736
"14",14,0,0,0.0176361417410777,4.78212077717573,0.200000001064936,0.912872613346435,10,0,0,0.912872656383574,0,10
"15",15,0,0,-0.0486220408234265,1.17189634761322,0.200000000018688,0.064569545845032,-1.64749716153522,0,0,0.018183469590985,0.0839150007180941,-1.29138088554503
"16",16,0,0,0.0218015634586626,1.237509083158,0.199999999967965,0.76940566630451,10,0,0,0.76940595686193,0,10
"17",17,0,0,0.187813258567891,0,0.187829073792944,0.130965528595495,10,0,0,0.000998830125756264,0.000998830125756264,1.09423784038357
"18",18,0,0,-0.0522881729263784,3.6176296086867,0.200000001889105,0.27177856326428,-5.24556138240706,0,0,0.271872599904807,0,-5.24717080839295
"19",19,0,0,-0.252146183019744,1.31919259551595,0.200000000237957,0.00216813773505458,-2.45360136980884,0,0,0.000550051716048564,0.0325469243602214,-4.0423810338965
"20",21,0,0,0.00434286111671354,1.34061124643809,0.199999999944861,1.43676228267666,10,0,0,1.4367622778485,0,10
"21",22,0,0,0.0256583639092096,5.23491077155063,0.199999996307004,0.752306764099964,10,0,0,0.000971470986288222,0.071133432321301,1.08108127727548
