"","X.1","X","workerid","pref1","order0","simPreference0","simulatedAnswer","numFeatures","normResponse0","simRank1","targetFeature","Answer.time_in_minutes","simPreference2","obj1","obj2","pref0","guessRank0","certainty","order2","evalNum","simRank0","targetFeatureNum","normResponse2","sex","order1","guessRank2","normResponse1","blockNr","obj3","simRank2","simPreference1","utterance","uttCode","response1","pref2","featuresPresent","response0","targetUttCode","guessRank1","response2","item","trialNum","education","enjoyment","language","gender","comments","age","assess","uttFeat","targetOC27","obj1OC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"1",1,1,0,"circle",232,0,333,5,0.214285714285714,"square","shape",17.3378666666667,0.5,221,232,"cloud","square",0.8,221,2,"circle",1,0.5,"female",333,"cloud",0.285714285714286,0,333,"cloud",1,"green","22b1",0.4,"square","['striped', 'polka-dotted', 'blue', 'red', 'green']",0.3,"22b1-2","circle",0.7,27240,0,3,2,"English","Female","None",48,"Yes",3,27,5,17,27,0.21429,0.28571,0.5,NA,NA,NA,NA,NA,NA,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.3358,0.32966,0.33454,0,0,0,0,0,0,112112,0
"5",5,5,0,"circle",132,1,132,5,0.478260869565217,"square","shape",17.3378666666667,0.5,311,322,"cloud","cloud",0.85,322,2,"cloud",1,0.260869565217391,"female",311,"square",0.260869565217391,1,132,"circle",0,"red","22b1",0.3,"square","['solid', 'striped', 'polka-dotted', 'blue', 'red']",0.55,"22b1-2","circle",0.3,5480,0,3,2,"English","Female","None",48,"Yes",3,16,3,15,16,0.47826,0.26087,0.26087,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,0,0,0,0,0.35003,0.48117,0.1688,0,0,0,0,0,0,211211,0
"9",9,9,0,"red",132,0,112,4,0.2,"green","color",17.3378666666667,0.5,112,132,"blue","red",0.9,123,2,"red",3,0.2,"female",112,"green",0.6,2,123,"blue",1,"solid","321",0.75,"green","['cloud', 'solid', 'striped', 'polka-dotted']",0.25,"321-2","blue",0.25,14441,0,3,2,"English","Female","None",48,"Yes",2,10,10,16,22,NA,NA,NA,NA,NA,NA,0.2,0.6,0.2,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.33625,0.33365,0.3301,113221,0
"13",13,13,0,"red",211,0,223,4,0.111111111111111,"red","color",17.3378666666667,1,211,232,"blue","green",0.8,223,3,"green",3,0.777777777777778,"female",232,"blue",0.111111111111111,3,223,"blue",0.5,"circle","311",0.1,"green","['circle', 'solid', 'striped', 'polka-dotted']",0.1,"311-3","red",0.7,16611,0,3,2,"English","Female","None",48,"Yes",1,23,2,17,23,NA,NA,NA,NA,NA,NA,0.11111,0.11111,0.77778,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.21356,0.21356,0.57288,321111,0
"17",17,17,1,"striped",222,0,222,4,0.310344827586207,"striped","texture",10.0976833333333,1,222,223,"solid","striped",0.45,223,2,"polka-dotted",2,0,"male",133,"solid",0.689655172413793,0,133,"solid",0.5,"circle","22a2b",1,"polka-dotted","['cloud', 'circle', 'red', 'green']",0.45,"22a2b-2a","polka-dotted",0,22681,0,2,2,"English","Male",NA,25,"Yes",1,14,14,23,25,NA,NA,NA,0.31034,0.68966,0,NA,NA,NA,0,0,0,0.5,0.25,0.25,0,0,0,0,0,0,0.56645,0.27028,0.16327,0,0,0,212112,0
"21",21,21,1,"circle",331,0.5,332,4,0.25,"cloud","shape",10.0976833333333,1,331,212,"cloud","cloud",1,332,2,"square",1,0.5,"male",212,"circle",0.25,1,332,"circle",0,"red","22a2b",0.5,"square","['solid', 'polka-dotted', 'blue', 'red']",0.5,"22a2b-2a","square",1,7330,0,2,2,"English","Male",NA,25,"Yes",3,18,9,11,18,0.25,0.25,0.5,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0,0,0,0,0,0.5635,0.08872,0.34778,0,0,0,0,0,0,212222,0
"25",25,25,1,"red",122,1,121,3,0.666666666666667,"red","color",10.0976833333333,0,121,112,"blue","blue",0.65,121,2,"blue",3,0.333333333333333,"male",112,"red",0,2,122,"green",0.5,"cloud","322b",0,"green","['cloud', 'solid', 'striped']",1,"322b-2","green",0.5,2591,0,2,2,"English","Male",NA,25,"Yes",1,4,4,10,13,NA,NA,NA,NA,NA,NA,0.66667,0,0.33333,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.3857,0.0762,0.5381,322112,0
"29",29,29,1,"circle",323,0.5,323,5,0.27027027027027,"cloud","shape",10.0976833333333,1,211,222,"cloud","cloud",0.6,211,2,"square",1,0.459459459459459,"male",222,"circle",0.27027027027027,3,323,"circle",0,"striped","22b1",0.5,"square","['solid', 'striped', 'blue', 'red', 'green']",0.5,"22b1-2","square",0.85,18500,0,2,2,"English","Male",NA,25,"Yes",2,24,2,14,24,0.27027,0.27027,0.45946,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0,0,0,0,0,0.49988,0.1018,0.39833,0,0,0,0,0,0,211211,0
"33",33,33,2,"striped",233,1,213,2,0.5,"striped","texture",8.2745,0,213,223,"solid","solid",1,213,2,"solid",2,0.25,"female",223,"striped",0.25,0,233,"polka-dotted",0.5,"green","331",0.35,"polka-dotted","['circle', 'green']",0.7,"331-3","polka-dotted",0.35,25500,0,2,2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",27,"Yes",3,20,20,23,26,NA,NA,NA,0.5,0.25,0.25,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0.5394,0.2303,0.2303,0,0,0,323211,0
"37",37,37,2,"circle",231,0.5,132,5,0.448275862068965,"cloud","shape",8.2745,1,231,132,"cloud","square",1,132,3,"square",1,0.275862068965517,"female",123,"circle",0.275862068965517,1,123,"circle",0,"polka-dotted","22b1",0.4,"square","['striped', 'polka-dotted', 'blue', 'red', 'green']",0.65,"22b1-2","cloud",0.4,14420,0,2,2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",27,"Yes",2,16,8,16,22,0.44828,0.27586,0.27586,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0,0,0,0,0,0.32503,0.15545,0.51953,0,0,0,0,0,0,212211,0
