"","X.1","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik","FeatTypeOrder.1","FeatTypeOrder.2","FeatTypeOrder.3","FeatValueOrders.1","FeatValueOrders.2","FeatValueOrders.3","FeatValueOrders.4","FeatValueOrders.5","FeatValueOrders.6","FeatValueOrders.7","FeatValueOrders.8","FeatValueOrders.9"
"1",   1,   1, 0,1325, 6,"English","clouds",0.50,"circles",0.50,"squares",0.50,"blue things",0.50,"red things",0.50,"green things",0.50,321,332,231,"striped",122122,FALSE,2,1,3, 6,18, 8,NA,NA,NA,0.5000000,0.50000000,NA,0.5000000,0.50000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.5263324,0.473667632,NA,0.5160874,0.483912580,NA,0.5160874,0.483912580,NA,122122,0,2,1,3,1,2,0,2,1,0,0,1,2
"2",   2,   2, 0,2212, 7,"English","solid things",0.50,"striped things",0.85,"polka-dotted things",0.30,"blue things",0.50,"red things",0.50,"green things",0.50,223,213,233,"circle",323211, TRUE,1,2,3,23,20,26,NA,NA,NA,1.0000000,NA,NA,0.5151500,0.30303000,0.18182000,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,1.0000000,NA,NA,0.4526545,0.273672737,0.273672737,323211,0,1,3,2,1,0,2,2,0,1,1,0,2
"3",   3,   3, 0,1772, 8,"English","clouds",0.50,"circles",0.80,"squares",0.25,"blue things",0.50,"red things",0.50,"green things",0.50,221,221,321,"striped",322132, TRUE,2,1,3, 5, 5, 6,NA,NA,NA,1.0000000,NA,NA,0.7619055,0.23809454,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,1.0000000,NA,NA,0.5702607,0.429739297,NA,323221,0,2,3,1,1,0,2,0,1,2,1,2,0
"4",   4,   4, 0,1026, 9,"English","clouds",0.70,"circles",0.50,"squares",0.50,"solid things",0.50,"striped things",0.70,"polka-dotted things",0.50,122,232,133,"red",212212, TRUE,3,1,2,13,17,25,NA,NA,NA,0.5833286,0.41667139,NA,0.5833286,0.41667139,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,0.5090825,0.490917545,NA,0.5983560,0.401644016,NA,0.5956770,0.404322978,NA,212212,0,3,1,2,1,2,0,0,1,2,1,2,0
"5",   5,   5, 0,1540,10,"English","clouds",0.35,"circles",0.50,"squares",0.50,"solid things",0.50,"striped things",0.85,"polka-dotted things",0.50,323,313,113,"green",322112, TRUE,3,1,2,24,21,19,NA,NA,NA,0.5882344,0.41176564,NA,0.6296301,0.37036986,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.5702607,0.429739297,NA,0.6232019,0.376798116,NA,322112,0,3,1,2,2,0,1,2,0,1,1,0,2
"6",   6,   6, 0, 571,11,"English","blue things",0.50,"red things",0.75,"green things",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,112,111,311,"cloud",213212, TRUE,1,3,2,10, 1, 3,NA,NA,NA,1.0000000,NA,NA,0.6000028,0.39999720,NA,0.5000000,0.5000000,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,0.5090825,0.490917545,NA,1.0000000,NA,NA,0.5956770,0.404322978,NA,213212,0,1,2,3,0,2,1,0,1,2,1,0,2
"7",   7,   7, 0, 547,12,"English","clouds",0.70,"circles",0.50,"squares",0.35,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,132,133,331,"red",112132,FALSE,3,1,2,16,25, 9,NA,NA,NA,1.0000000,NA,NA,0.6666617,0.33333825,NA,0.3333333,0.3333333,0.3333333,1.0000000,NA,NA,0.5000000,0.5000000,NA,0.3571600,0.321420000,0.321420000,1.0000000,NA,NA,0.5160874,0.483912580,NA,113221,0,3,2,1,1,2,0,2,0,1,0,2,1
"8",   8,   8, 0,2122,13,"English","clouds",0.50,"circles",0.50,"squares",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,312,221,233,"red",111112,FALSE,3,1,2,12, 5,26,NA,NA,NA,0.5000000,0.50000000,NA,0.3333333,0.33333333,0.33333333,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.3333333,0.3333333,0.3333333,0.3571600,0.321420000,0.321420000,0.5263324,0.473667632,NA,0.3571600,0.321420000,0.321420000,111211,0,3,1,2,1,0,2,2,1,0,0,1,2
"9",   9,   9, 0,1393,14,"English","blue things",0.50,"red things",0.50,"green things",0.50,"clouds",0.50,"circles",0.50,"squares",0.50,221,331,111,"striped",113211,FALSE,2,3,1, 5, 9, 1,NA,NA,NA,1.0000000,NA,NA,0.3333333,0.33333333,0.33333333,0.3333333,0.3333333,0.3333333,1.0000000,NA,NA,0.3333333,0.3333333,0.3333333,0.3571600,0.321420000,0.321420000,1.0000000,NA,NA,0.3571600,0.321420000,0.321420000,113211,0,2,3,1,1,2,0,0,1,2,1,2,0
"10",  10,  10, 0, 607,15,"English","solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,"blue things",0.50,"red things",0.50,"green things",0.50,213,113,322,"circle",112121,FALSE,1,2,3,20,19,15,NA,NA,NA,0.5000000,0.50000000,NA,0.5000000,0.50000000,NA,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.3571600,0.321420000,0.321420000,0.5160874,0.483912580,NA,0.5160874,0.483912580,NA,112121,0,1,2,3,1,0,2,0,1,2,2,1,0
