workerid,response6,response4,response5,response2,response3,response1,property1,property2,obj3,obj2,slide_number,condition,trial_type,target,utterance,item,pref1,pref2,pref3,pref4,pref5,pref6
0,0,0,1,0.2,0,1,shape,color,112,112,3,3/3,multi_slider,112,solid,289,clouds,circles,squares,blue things,red things,green things
0,0.05,0.5,0.05,1,0.05,0.05,shape,texture,212,132,4,2/2,multi_slider,212,red,103,clouds,circles,squares,solid things,striped things,polka-dotted things
0,0.7,0,0,0.05,0.85,0.05,shape,color,333,333,5,3/3,multi_slider,333,polka-dotted,298,clouds,circles,squares,blue things,red things,green things
0,0.05,0.75,0,0.95,0.05,0,color,texture,313,311,6,1/3,multi_slider,312,red,168,blue things,red things,green things,solid things,striped things,polka-dotted things
0,0.05,0,0.85,0.05,0.75,0,shape,color,132,232,7,1/3,multi_slider,332,square,158,clouds,circles,squares,blue things,red things,green things
0,0.05,0.75,0.05,0.05,0.05,0.95,texture,color,311,311,8,3/3,multi_slider,311,square,258,blue things,red things,green things,solid things,striped things,polka-dotted things
0,0.05,0.8,0.05,0.05,0.05,0.5,shape,texture,211,131,9,2/2,multi_slider,111,blue,142,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0,0.65,0,0.8,0,0,shape,color,131,131,10,1/3,multi_slider,231,circle,190,clouds,circles,squares,blue things,red things,green things
0,0,0.85,0.15,0.5,0,0,shape,color,132,331,11,2/2,multi_slider,132,polka-dotted,140,blue things,red things,green things,clouds,circles,squares
0,0.95,0.05,0.05,0.75,0.05,0.05,texture,shape,321,331,12,2/3,multi_slider,321,striped,46,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0,0.85,0.2,0.05,0.75,0,shape,texture,333,123,13,2/2,multi_slider,133,green,116,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0.85,0.05,0.05,0.05,0,0.1,color,texture,112,132,14,1/2,multi_slider,131,polka-dotted,73,blue things,red things,green things,solid things,striped things,polka-dotted things
0,0.05,0.95,0.05,0.05,0.05,0.9,texture,shape,113,123,15,2/3,multi_slider,113,green,31,solid things,striped things,polka-dotted things,clouds,circles,squares
0,0,0.7,0.05,0.05,0.8,0,texture,color,222,212,16,1/1,multi_slider,231,blue,209,solid things,striped things,polka-dotted things,blue things,red things,green things
0,0.9,0.05,0.05,0.15,0.05,0.85,shape,texture,131,231,17,2/3,multi_slider,131,cloud,32,clouds,circles,squares,solid things,striped things,polka-dotted things
1,0,0.85,0,0.85,0.05,0.55,shape,color,131,131,3,3/3,multi_slider,131,blue,291,clouds,circles,squares,blue things,red things,green things
