workerid,response6,response4,response5,response2,response3,response1,property1,property2,obj3,obj2,slide_number,condition,trial_type,target,utterance,item,pref1,pref2,pref3,pref4,pref5,pref6,language,enjoyment,gender,age,comments,assess,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,0,0,1,0.2,0,1,shape,color,112,112,3,3/3,multi_slider,112,solid,289,clouds,circles,squares,blue things,red things,green things,ENGLISH,1,Male,50,,Yes,2,Windows,768,1366,Chrome,34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Tue Dec 04 10:54:45 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jan 03 10:54:45 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3LS2AMNW5GMX0EVPWYYWF4C0A6LQO9,0,Submitted,Wed Dec 05 03:40:20 PST 2018,Tue Dec 04 10:54:52 PST 2018,Tue Dec 04 11:00:20 PST 2018,,,,,,[],4.853183333333333
0,0.05,0.5,0.05,1,0.05,0.05,shape,texture,212,132,4,2/2,multi_slider,212,red,103,clouds,circles,squares,solid things,striped things,polka-dotted things,ENGLISH,1,Male,50,,Yes,2,Windows,768,1366,Chrome,34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Tue Dec 04 10:54:45 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jan 03 10:54:45 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3LS2AMNW5GMX0EVPWYYWF4C0A6LQO9,0,Submitted,Wed Dec 05 03:40:20 PST 2018,Tue Dec 04 10:54:52 PST 2018,Tue Dec 04 11:00:20 PST 2018,,,,,,[],4.853183333333333
0,0.7,0,0,0.05,0.85,0.05,shape,color,333,333,5,3/3,multi_slider,333,polka-dotted,298,clouds,circles,squares,blue things,red things,green things,ENGLISH,1,Male,50,,Yes,2,Windows,768,1366,Chrome,34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Tue Dec 04 10:54:45 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jan 03 10:54:45 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3LS2AMNW5GMX0EVPWYYWF4C0A6LQO9,0,Submitted,Wed Dec 05 03:40:20 PST 2018,Tue Dec 04 10:54:52 PST 2018,Tue Dec 04 11:00:20 PST 2018,,,,,,[],4.853183333333333
0,0.05,0.75,0,0.95,0.05,0,color,texture,313,311,6,1/3,multi_slider,312,red,168,blue things,red things,green things,solid things,striped things,polka-dotted things,ENGLISH,1,Male,50,,Yes,2,Windows,768,1366,Chrome,34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Tue Dec 04 10:54:45 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jan 03 10:54:45 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3LS2AMNW5GMX0EVPWYYWF4C0A6LQO9,0,Submitted,Wed Dec 05 03:40:20 PST 2018,Tue Dec 04 10:54:52 PST 2018,Tue Dec 04 11:00:20 PST 2018,,,,,,[],4.853183333333333
0,0.05,0,0.85,0.05,0.75,0,shape,color,132,232,7,1/3,multi_slider,332,square,158,clouds,circles,squares,blue things,red things,green things,ENGLISH,1,Male,50,,Yes,2,Windows,768,1366,Chrome,34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Tue Dec 04 10:54:45 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jan 03 10:54:45 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3LS2AMNW5GMX0EVPWYYWF4C0A6LQO9,0,Submitted,Wed Dec 05 03:40:20 PST 2018,Tue Dec 04 10:54:52 PST 2018,Tue Dec 04 11:00:20 PST 2018,,,,,,[],4.853183333333333
0,0.05,0.75,0.05,0.05,0.05,0.95,texture,color,311,311,8,3/3,multi_slider,311,square,258,blue things,red things,green things,solid things,striped things,polka-dotted things,ENGLISH,1,Male,50,,Yes,2,Windows,768,1366,Chrome,34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Tue Dec 04 10:54:45 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jan 03 10:54:45 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3LS2AMNW5GMX0EVPWYYWF4C0A6LQO9,0,Submitted,Wed Dec 05 03:40:20 PST 2018,Tue Dec 04 10:54:52 PST 2018,Tue Dec 04 11:00:20 PST 2018,,,,,,[],4.853183333333333
0,0.05,0.8,0.05,0.05,0.05,0.5,shape,texture,211,131,9,2/2,multi_slider,111,blue,142,solid things,striped things,polka-dotted things,clouds,circles,squares,ENGLISH,1,Male,50,,Yes,2,Windows,768,1366,Chrome,34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Tue Dec 04 10:54:45 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jan 03 10:54:45 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3LS2AMNW5GMX0EVPWYYWF4C0A6LQO9,0,Submitted,Wed Dec 05 03:40:20 PST 2018,Tue Dec 04 10:54:52 PST 2018,Tue Dec 04 11:00:20 PST 2018,,,,,,[],4.853183333333333
0,0,0.65,0,0.8,0,0,shape,color,131,131,10,1/3,multi_slider,231,circle,190,clouds,circles,squares,blue things,red things,green things,ENGLISH,1,Male,50,,Yes,2,Windows,768,1366,Chrome,34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Tue Dec 04 10:54:45 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jan 03 10:54:45 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3LS2AMNW5GMX0EVPWYYWF4C0A6LQO9,0,Submitted,Wed Dec 05 03:40:20 PST 2018,Tue Dec 04 10:54:52 PST 2018,Tue Dec 04 11:00:20 PST 2018,,,,,,[],4.853183333333333
0,0,0.85,0.15,0.5,0,0,shape,color,132,331,11,2/2,multi_slider,132,polka-dotted,140,blue things,red things,green things,clouds,circles,squares,ENGLISH,1,Male,50,,Yes,2,Windows,768,1366,Chrome,34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Tue Dec 04 10:54:45 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jan 03 10:54:45 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3LS2AMNW5GMX0EVPWYYWF4C0A6LQO9,0,Submitted,Wed Dec 05 03:40:20 PST 2018,Tue Dec 04 10:54:52 PST 2018,Tue Dec 04 11:00:20 PST 2018,,,,,,[],4.853183333333333
0,0.95,0.05,0.05,0.75,0.05,0.05,texture,shape,321,331,12,2/3,multi_slider,321,striped,46,solid things,striped things,polka-dotted things,clouds,circles,squares,ENGLISH,1,Male,50,,Yes,2,Windows,768,1366,Chrome,34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Tue Dec 04 10:54:45 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jan 03 10:54:45 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=34HEO7RUG6P5NRIV8SDCUG6CD9FRAH,3LS2AMNW5GMX0EVPWYYWF4C0A6LQO9,0,Submitted,Wed Dec 05 03:40:20 PST 2018,Tue Dec 04 10:54:52 PST 2018,Tue Dec 04 11:00:20 PST 2018,,,,,,[],4.853183333333333
