date,workerid,amount
Tue Dec 04 10:59:13 PST 2018,A13JQTLPWXZD6L,0.5
Tue Dec 04 11:00:40 PST 2018,A2V097V7PK2HRN,0.5
Tue Dec 04 11:01:40 PST 2018,ASP32QB28TEZU,0.5
Tue Dec 04 11:02:01 PST 2018,A2MI6AUNBXGL47,0.5
Tue Dec 04 11:05:56 PST 2018,A367P88M541M9F,0.5
Tue Dec 04 11:07:22 PST 2018,AZ8JL3QNIPY4U,0.5
Tue Dec 04 11:13:35 PST 2018,A3SD02HCW68EUL,0.5
Tue Dec 04 11:17:23 PST 2018,A13HZKB2NGZP6B,0.5
Tue Dec 04 11:17:59 PST 2018,A2GG7HIO2OIXUR,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
