date,workerid,amount
Thu Dec 20 09:21:11 PST 2018,A1YGENVE7OI5JL,0.5
Thu Dec 20 09:21:20 PST 2018,A1FYFBIFYWTMJS,0.5
Thu Dec 20 09:23:19 PST 2018,A3O7X46E3REM7I,0.5
Thu Dec 20 09:25:13 PST 2018,AYYBMS4XQJ9AP,0.5
Thu Dec 20 09:29:12 PST 2018,A1OPGPTQJ48XOY,0.5
Thu Dec 20 09:53:18 PST 2018,A219VCQZADQ45W,0.5
Thu Dec 20 09:56:32 PST 2018,A3PWZI229O6HGU,0.5
Thu Dec 20 10:09:54 PST 2018,A3FAH5S2RGZ5AK,0.5
Thu Dec 20 10:30:20 PST 2018,AHIJACUG7ZL9B,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
