date,workerid,amount
Thu Dec 20 09:23:00 PST 2018,A2UNSF09FWX9S8,0.5
Thu Dec 20 09:24:23 PST 2018,A3GCYGO7UPKXO9,0.5
Thu Dec 20 09:25:20 PST 2018,A3NNMPGQT7DSXS,0.5
Thu Dec 20 09:27:09 PST 2018,AIU30D5BNNCWH,0.5
Thu Dec 20 09:27:21 PST 2018,A3G4HX36KVNQC0,0.5
Thu Dec 20 09:28:22 PST 2018,A21E9RXX99ZUDV,0.5
Thu Dec 20 09:28:54 PST 2018,ADSW7NBVHON18,0.5
Thu Dec 20 09:30:14 PST 2018,A2SRC38HIJ2X19,0.5
Thu Dec 20 10:32:50 PST 2018,AS1IHY5NZ4V70,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
