workerid,response6,trial_type,response4,response5,response2,response3,response1,utterance,obj3,item,itemCode,obj2,slide_number,ambiguous,pref1,pref2,pref3,pref4,pref5,pref6,target
0,0.15,multi_slider,0.85,0.25,0.05,0.9,0,solid,133,150,212111,211,6,True,clouds,circles,squares,blue things,red things,green things,311
0,0.1,multi_slider,0.9,0.15,0.85,0.1,0.1,solid,133,1805,122121,231,7,False,clouds,circles,squares,blue things,red things,green things,211
0,1,multi_slider,0.95,0.15,0.55,0.25,0.85,green,313,1423,322111,233,8,True,clouds,circles,squares,solid things,striped things,polka-dotted things,133
0,0,multi_slider,0.05,1,0.15,1,0.75,square,221,117,212111,312,9,True,solid things,striped things,polka-dotted things,blue things,red things,green things,332
0,0.1,multi_slider,0.85,0.95,1,0.2,0.15,square,322,1955,323232,322,10,False,blue things,red things,green things,solid things,striped things,polka-dotted things,322
0,0.8,multi_slider,0.8,0.1,0.85,0.2,0.05,cloud,211,1747,212112,131,11,True,blue things,red things,green things,solid things,striped things,polka-dotted things,132
0,0.95,multi_slider,0.15,0,0.1,0.15,0.9,red,222,2067,321111,132,12,True,solid things,striped things,polka-dotted things,clouds,circles,squares,312
0,0.15,multi_slider,0.1,0.85,0.05,0.9,0,solid,133,519,112132,223,13,False,blue things,red things,green things,clouds,circles,squares,213
0,0.2,multi_slider,0.75,0.9,0.05,0.05,0.95,cloud,131,2242,323211,111,14,True,blue things,red things,green things,solid things,striped things,polka-dotted things,121
0,0.15,multi_slider,0.95,0.1,0.9,0.1,0.25,striped,123,1551,322121,221,15,True,clouds,circles,squares,blue things,red things,green things,221
0,0.05,multi_slider,0.8,0.05,0.05,0.05,0.85,circle,131,1080,113212,331,16,False,blue things,red things,green things,solid things,striped things,polka-dotted things,211
0,0,multi_slider,0.95,0.4,0.05,0.95,0.9,blue,121,189,323212,121,17,True,solid things,striped things,polka-dotted things,clouds,circles,squares,131
0,0.15,multi_slider,0.05,0.85,0.05,0.95,0.05,solid,323,877,112122,231,18,False,blue things,red things,green things,clouds,circles,squares,213
0,0.25,multi_slider,0.1,0.8,0.95,0.2,0.05,red,333,756,211212,332,19,True,solid things,striped things,polka-dotted things,clouds,circles,squares,222
0,0.1,multi_slider,0.9,0.1,0.8,0.15,0.1,square,321,1139,321212,321,20,True,blue things,red things,green things,solid things,striped things,polka-dotted things,312
