workerid,response6,trial_type,response4,response5,response2,response3,response1,utterance,obj3,item,itemCode,obj2,slide_number,ambiguous,pref1,pref2,pref3,pref4,pref5,pref6,target,language,enjoyment,gender,age,comments,assess,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,0.15,multi_slider,0.85,0.25,0.05,0.9,0,solid,133,150,212111,211,6,True,clouds,circles,squares,blue things,red things,green things,311,english,2,Female,23,,Yes,3,Windows,768,1366,Chrome,3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:16:26 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:16:26 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3SEPORI8WOVHC22F9BCR524ZR93AZO,0,Submitted,Fri Dec 21 01:59:39 PST 2018,Thu Dec 20 09:16:37 PST 2018,Thu Dec 20 09:19:39 PST 2018,,,,,,[],2.9193333333333333
0,0.1,multi_slider,0.9,0.15,0.85,0.1,0.1,solid,133,1805,122121,231,7,False,clouds,circles,squares,blue things,red things,green things,211,english,2,Female,23,,Yes,3,Windows,768,1366,Chrome,3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:16:26 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:16:26 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3SEPORI8WOVHC22F9BCR524ZR93AZO,0,Submitted,Fri Dec 21 01:59:39 PST 2018,Thu Dec 20 09:16:37 PST 2018,Thu Dec 20 09:19:39 PST 2018,,,,,,[],2.9193333333333333
0,1,multi_slider,0.95,0.15,0.55,0.25,0.85,green,313,1423,322111,233,8,True,clouds,circles,squares,solid things,striped things,polka-dotted things,133,english,2,Female,23,,Yes,3,Windows,768,1366,Chrome,3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:16:26 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:16:26 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3SEPORI8WOVHC22F9BCR524ZR93AZO,0,Submitted,Fri Dec 21 01:59:39 PST 2018,Thu Dec 20 09:16:37 PST 2018,Thu Dec 20 09:19:39 PST 2018,,,,,,[],2.9193333333333333
0,0,multi_slider,0.05,1,0.15,1,0.75,square,221,117,212111,312,9,True,solid things,striped things,polka-dotted things,blue things,red things,green things,332,english,2,Female,23,,Yes,3,Windows,768,1366,Chrome,3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:16:26 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:16:26 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3SEPORI8WOVHC22F9BCR524ZR93AZO,0,Submitted,Fri Dec 21 01:59:39 PST 2018,Thu Dec 20 09:16:37 PST 2018,Thu Dec 20 09:19:39 PST 2018,,,,,,[],2.9193333333333333
0,0.1,multi_slider,0.85,0.95,1,0.2,0.15,square,322,1955,323232,322,10,False,blue things,red things,green things,solid things,striped things,polka-dotted things,322,english,2,Female,23,,Yes,3,Windows,768,1366,Chrome,3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:16:26 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:16:26 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3SEPORI8WOVHC22F9BCR524ZR93AZO,0,Submitted,Fri Dec 21 01:59:39 PST 2018,Thu Dec 20 09:16:37 PST 2018,Thu Dec 20 09:19:39 PST 2018,,,,,,[],2.9193333333333333
0,0.8,multi_slider,0.8,0.1,0.85,0.2,0.05,cloud,211,1747,212112,131,11,True,blue things,red things,green things,solid things,striped things,polka-dotted things,132,english,2,Female,23,,Yes,3,Windows,768,1366,Chrome,3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:16:26 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:16:26 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3SEPORI8WOVHC22F9BCR524ZR93AZO,0,Submitted,Fri Dec 21 01:59:39 PST 2018,Thu Dec 20 09:16:37 PST 2018,Thu Dec 20 09:19:39 PST 2018,,,,,,[],2.9193333333333333
0,0.95,multi_slider,0.15,0,0.1,0.15,0.9,red,222,2067,321111,132,12,True,solid things,striped things,polka-dotted things,clouds,circles,squares,312,english,2,Female,23,,Yes,3,Windows,768,1366,Chrome,3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:16:26 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:16:26 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3SEPORI8WOVHC22F9BCR524ZR93AZO,0,Submitted,Fri Dec 21 01:59:39 PST 2018,Thu Dec 20 09:16:37 PST 2018,Thu Dec 20 09:19:39 PST 2018,,,,,,[],2.9193333333333333
0,0.15,multi_slider,0.1,0.85,0.05,0.9,0,solid,133,519,112132,223,13,False,blue things,red things,green things,clouds,circles,squares,213,english,2,Female,23,,Yes,3,Windows,768,1366,Chrome,3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:16:26 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:16:26 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3SEPORI8WOVHC22F9BCR524ZR93AZO,0,Submitted,Fri Dec 21 01:59:39 PST 2018,Thu Dec 20 09:16:37 PST 2018,Thu Dec 20 09:19:39 PST 2018,,,,,,[],2.9193333333333333
0,0.2,multi_slider,0.75,0.9,0.05,0.05,0.95,cloud,131,2242,323211,111,14,True,blue things,red things,green things,solid things,striped things,polka-dotted things,121,english,2,Female,23,,Yes,3,Windows,768,1366,Chrome,3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:16:26 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:16:26 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3SEPORI8WOVHC22F9BCR524ZR93AZO,0,Submitted,Fri Dec 21 01:59:39 PST 2018,Thu Dec 20 09:16:37 PST 2018,Thu Dec 20 09:19:39 PST 2018,,,,,,[],2.9193333333333333
0,0.15,multi_slider,0.95,0.1,0.9,0.1,0.25,striped,123,1551,322121,221,15,True,clouds,circles,squares,blue things,red things,green things,221,english,2,Female,23,,Yes,3,Windows,768,1366,Chrome,3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:16:26 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:16:26 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3V8JSVE8YYLHA5BT2S7SYVP01Q7YEU,3SEPORI8WOVHC22F9BCR524ZR93AZO,0,Submitted,Fri Dec 21 01:59:39 PST 2018,Thu Dec 20 09:16:37 PST 2018,Thu Dec 20 09:19:39 PST 2018,,,,,,[],2.9193333333333333
