workerid,response6,response7,response4,response5,response2,response3,response1,response8,response9,pref9,obj1,obj3,obj2,ambiguous,itemCode,slide_number,condition,trial_type,target,pref4,pref8,item,numFeatures,pref1,pref2,pref3,utterance,pref5,pref6,pref7
0,0.7,NA,0.7,0.85,0.65,0.85,0.65,NA,NA,NA,NA,213,233,False,122132,6,NA,prior_inference,232,solid things,NA,356,NA,clouds,circles,squares,red,striped things,polka-dotted things,NA
0,0.65,NA,0.7,0.85,0.85,0.7,0.75,NA,NA,NA,NA,211,131,True,213211,7,NA,prior_inference,121,blue things,NA,349,NA,solid things,striped things,polka-dotted things,cloud,red things,green things,NA
0,0.55,NA,0.65,0.75,0.65,0.8,0.75,NA,NA,NA,NA,332,321,True,211112,8,NA,prior_inference,123,clouds,NA,1632,NA,blue things,red things,green things,striped,circles,squares,NA
0,0.95,NA,0.85,0.65,0.75,0.75,0.85,NA,NA,NA,NA,112,233,True,212222,9,NA,prior_inference,113,solid things,NA,298,NA,clouds,circles,squares,green,striped things,polka-dotted things,NA
0,0.7,NA,0.8,0.6,0.75,0.85,0.7,NA,NA,NA,NA,222,221,False,122132,10,NA,prior_inference,321,solid things,NA,358,NA,blue things,red things,green things,square,striped things,polka-dotted things,NA
0,0.8,NA,0.7,0.8,0.8,0.85,0.75,NA,NA,NA,NA,232,123,True,212222,11,NA,prior_inference,233,solid things,NA,267,NA,clouds,circles,squares,green,striped things,polka-dotted things,NA
0,0.7,NA,0.7,0.85,0.6,0.75,0.8,NA,NA,NA,NA,321,322,False,122112,12,NA,prior_inference,212,clouds,NA,30,NA,blue things,red things,green things,solid,circles,squares,NA
0,0.75,NA,0.75,0.85,0.6,0.7,0.8,NA,NA,NA,NA,332,211,False,112121,13,NA,prior_inference,111,blue things,NA,647,NA,solid things,striped things,polka-dotted things,cloud,red things,green things,NA
0,0.8,NA,0.75,0.7,0.7,0.8,0.85,NA,NA,NA,NA,222,122,True,323211,14,NA,prior_inference,322,clouds,NA,2245,NA,blue things,red things,green things,striped,circles,squares,NA
0,0.9,NA,0.85,0.65,0.65,0.9,0.8,NA,NA,NA,NA,312,322,True,213212,15,NA,prior_inference,323,blue things,NA,563,NA,clouds,circles,squares,striped,red things,green things,NA
0,0.4,NA,0.35,0.7,0.25,0.8,0.75,NA,NA,NA,333,223,313,True,NA,17,112132,utterance_choice,NA,green,NA,514,6,square,polka-dotted,circle,NA,striped,solid,NA
0,0.95,0.35,0.35,0.7,0.25,0.8,0.8,0.65,NA,NA,122,313,233,True,NA,18,111112,utterance_choice,NA,circle,green,2136,8,square,striped,cloud,NA,red,solid,polka-dotted
0,NA,NA,0.3,NA,0.2,0.65,1,NA,NA,NA,322,332,332,True,NA,19,323212,utterance_choice,NA,square,NA,165,4,polka-dotted,red,striped,NA,NA,NA,NA
0,NA,NA,0.3,0.55,0.25,0.8,0.8,NA,NA,NA,213,233,113,True,NA,20,212232,utterance_choice,NA,cloud,NA,1153,5,circle,solid,green,NA,polka-dotted,NA,NA
0,0.35,NA,0.35,0.8,0.4,0.9,0.75,NA,NA,NA,122,213,213,False,NA,21,121212,utterance_choice,NA,cloud,NA,1696,6,solid,circle,green,NA,striped,red,NA
0,0.35,NA,0.3,0.65,0.25,0.85,0.7,NA,NA,NA,312,233,233,False,NA,22,121212,utterance_choice,NA,green,NA,1666,6,square,red,circle,NA,solid,polka-dotted,NA
0,0.35,NA,0.3,0.65,0.3,0.65,0.7,NA,NA,NA,313,322,333,True,NA,23,213211,utterance_choice,NA,square,NA,317,6,polka-dotted,green,solid,NA,striped,red,NA
0,0.35,0.7,0.35,0.65,0.3,0.65,0.65,0.4,0.7,blue,332,111,223,False,NA,24,111111,utterance_choice,NA,solid,striped,1281,9,green,red,circle,NA,square,cloud,polka-dotted
0,0.3,0.65,0.25,0.7,0.3,0.6,0.8,0.4,0.65,solid,213,321,132,False,NA,25,111111,utterance_choice,NA,blue,square,1279,9,striped,red,circle,NA,green,cloud,polka-dotted
0,NA,NA,0.25,NA,0.3,0.75,0.8,NA,NA,NA,121,111,121,True,NA,26,322132,utterance_choice,NA,solid,NA,1790,4,cloud,striped,blue,NA,NA,NA,NA
1,0.3,NA,0.9,0.6,0.2,0.3,0.9,NA,NA,NA,NA,221,232,True,211112,6,NA,prior_inference,112,clouds,NA,1603,NA,solid things,striped things,polka-dotted things,red,circles,squares,NA
1,0,NA,0.2,0,0.9,0.35,0.1,NA,NA,NA,NA,121,133,True,212212,7,NA,prior_inference,331,blue things,NA,1033,NA,clouds,circles,squares,polka-dotted,red things,green things,NA
1,0.9,NA,0.85,0.2,0.6,0.15,0.3,NA,NA,NA,NA,232,332,True,323211,8,NA,prior_inference,132,solid things,NA,2202,NA,clouds,circles,squares,red,striped things,polka-dotted things,NA
1,0,NA,0.8,0.6,0.1,1,0,NA,NA,NA,NA,322,322,False,121212,9,NA,prior_inference,113,clouds,NA,1660,NA,blue things,red things,green things,solid,circles,squares,NA
1,0.1,NA,0.65,0.55,0.1,0.75,0.15,NA,NA,NA,NA,213,111,True,322122,10,NA,prior_inference,113,clouds,NA,2021,NA,blue things,red things,green things,solid,circles,squares,NA
