workerid,response6,response7,response4,response5,response2,response3,response1,response8,response9,pref9,obj1,obj3,obj2,ambiguous,itemCode,slide_number,condition,trial_type,target,pref4,pref8,item,numFeatures,pref1,pref2,pref3,utterance,pref5,pref6,pref7,language,enjoyment,gender,age,comments,assess,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,0.5,NA,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,NA,333,323,False,213232,6,NA,prior_inference,323,clouds,NA,2299,NA,blue things,red things,green things,striped,circles,squares,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.5,NA,0.5,0.75,0.5,0.8,0.5,NA,NA,NA,NA,111,111,True,321212,7,NA,prior_inference,132,blue things,NA,1145,NA,solid things,striped things,polka-dotted things,cloud,red things,green things,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.25,NA,0.75,0.5,0.65,0.3,0.5,NA,NA,NA,NA,311,231,True,322122,8,NA,prior_inference,211,solid things,NA,2029,NA,clouds,circles,squares,blue,striped things,polka-dotted things,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.5,NA,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,NA,311,311,False,121212,9,NA,prior_inference,222,blue things,NA,1677,NA,clouds,circles,squares,striped,red things,green things,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.5,NA,0.5,0.5,0.7,0.5,0.25,NA,NA,NA,NA,131,111,True,213212,10,NA,prior_inference,211,blue things,NA,584,NA,clouds,circles,squares,solid,red things,green things,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.7,NA,0.2,0.5,0.5,0.3,0.75,NA,NA,NA,NA,322,231,True,211111,11,NA,prior_inference,213,blue things,NA,486,NA,solid things,striped things,polka-dotted things,circle,red things,green things,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.8,NA,0.3,0.5,0.75,0.5,0.2,NA,NA,NA,NA,113,233,True,322121,12,NA,prior_inference,233,solid things,NA,1594,NA,clouds,circles,squares,green,striped things,polka-dotted things,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.5,NA,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,NA,132,132,False,123212,13,NA,prior_inference,111,solid things,NA,1885,NA,clouds,circles,squares,blue,striped things,polka-dotted things,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.2,NA,0.7,0.5,0.5,0.5,0.5,NA,NA,NA,NA,223,221,True,322132,14,NA,prior_inference,221,blue things,NA,1778,NA,clouds,circles,squares,striped,red things,green things,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.5,NA,0.5,0.75,0.5,0.5,0.5,NA,NA,NA,NA,213,132,False,212121,15,NA,prior_inference,132,blue things,NA,940,NA,solid things,striped things,polka-dotted things,cloud,red things,green things,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.2,NA,0.25,0.25,0.3,0.85,0.8,NA,NA,NA,312,323,321,True,NA,17,113212,utterance_choice,NA,blue,NA,1061,6,striped,red,square,NA,solid,green,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.15,NA,0.15,0.15,0.8,0.15,0.25,NA,NA,NA,121,223,111,True,NA,18,212122,utterance_choice,NA,solid,NA,723,6,blue,cloud,green,NA,striped,circle,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.15,NA,0.15,0.1,0.2,0.9,0.8,NA,NA,NA,211,223,222,True,NA,19,113212,utterance_choice,NA,red,NA,1055,6,striped,green,circle,NA,blue,solid,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,NA,NA,0.65,0.15,0.9,0.75,0.15,NA,NA,NA,331,231,311,True,NA,20,212232,utterance_choice,NA,square,NA,1199,5,circle,blue,polka-dotted,NA,solid,NA,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.2,NA,0.15,0.25,0.15,0.1,0.85,NA,NA,NA,132,213,132,False,NA,21,212121,utterance_choice,NA,circle,NA,940,6,cloud,green,polka-dotted,NA,red,solid,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.2,NA,0.35,0.25,0.2,0.8,0.2,NA,NA,NA,322,233,233,False,NA,22,121212,utterance_choice,NA,striped,NA,1661,6,green,red,circle,NA,polka-dotted,square,NA,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
0,0.8,0.2,0.15,0.85,0.2,0.15,0.25,NA,NA,NA,221,112,132,True,NA,23,111212,utterance_choice,NA,blue,NA,1901,7,striped,polka-dotted,circle,NA,red,cloud,solid,English,2,Female,24,,Yes,2,Windows,1080,1920,Chrome,33J5JKFMK6T5R54AMY922II1CCRQ3O,3VLQM5V8QJ8K54PKPB43K0F07EZG8U,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.75,Tue Jan 15 16:01:42 PST 2019,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Feb 14 16:01:42 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=33J5JKFMK6T5R54AMY922II1CCRQ3O,3TE3O857314J58LKMFPZDHJ282LR2W,0,Submitted,Wed Jan 16 08:47:37 PST 2019,Tue Jan 15 16:01:54 PST 2019,Tue Jan 15 16:07:37 PST 2019,,,,,,[],5.088766666666666
