date,workerid,amount
Tue Jan 15 16:07:37 PST 2019,A2UIGDOLX5RV95,0.75
Tue Jan 15 16:09:30 PST 2019,A2M62TSZMEG91E,0.75
Tue Jan 15 16:12:58 PST 2019,A2TVJTQ4VXATE6,0.75
Tue Jan 15 16:16:29 PST 2019,A3HYLVFUDKJFKC,0.75
Tue Jan 15 16:17:44 PST 2019,AYXDE087J2KO,0.75
Tue Jan 15 16:18:52 PST 2019,A3APKUC67F9IMW,0.75
Tue Jan 15 16:24:13 PST 2019,A2A4DJKCY4T6N5,0.75
Tue Jan 15 16:37:22 PST 2019,A1PZS3UIH64YP7,0.75
Tue Jan 15 17:09:59 PST 2019,A2T3TJEHWXHH7U,0.75
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
