"","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","numFeatures","target","obj1","obj2","obj3","utterance","itemCode","condition","ambiguous","trial_type"
"1","0","333","6","English","clouds","0","circles","1","squares","0","blue things","0.5","red things","0","green things","0",NA,NA,NA,NA,NA,NA,NA,"231",NA,"331","111","polka-dotted","213211",NA,"True","prior_inference"
"2","0","364","7","English","blue things","0","red things","0","green things","0.5","clouds","0.75","circles","0","squares","0",NA,NA,NA,NA,NA,NA,NA,"133",NA,"113","213","polka-dotted","122132",NA,"False","prior_inference"
"3","0","337","8","English","solid things","0","striped things","0","polka-dotted things","0","blue things","0","red things","0.9","green things","0",NA,NA,NA,NA,NA,NA,NA,"112",NA,"113","211","cloud","213211",NA,"True","prior_inference"
"4","0","1370","9","English","blue things","0","red things","0","green things","0","solid things","0","striped things","0","polka-dotted things","0",NA,NA,NA,NA,NA,NA,NA,"312",NA,"132","222","square","113211",NA,"False","prior_inference"
"5","0","1861","10","English","blue things","0","red things","0","green things","0","clouds","0","circles","0","squares","0",NA,NA,NA,NA,NA,NA,NA,"122",NA,"232","232","striped","123212",NA,"False","prior_inference"
"6","0","181","11","English","solid things","0","striped things","0","polka-dotted things","0.75","blue things","0","red things","0.3","green things","0",NA,NA,NA,NA,NA,NA,NA,"232",NA,"222","222","circle","323212",NA,"True","prior_inference"
"7","0","770","12","English","clouds","0.8","circles","0","squares","0","solid things","0","striped things","0.8","polka-dotted things","0",NA,NA,NA,NA,NA,NA,NA,"123",NA,"213","211","green","211212",NA,"True","prior_inference"
"8","0","734","13","English","blue things","0","red things","0","green things","0.8","solid things","0","striped things","0","polka-dotted things","0.85",NA,NA,NA,NA,NA,NA,NA,"233",NA,"213","131","circle","212122",NA,"True","prior_inference"
"9","0","1413","14","English","clouds","0","circles","0","squares","0.9","blue things","0","red things","0","green things","0",NA,NA,NA,NA,NA,NA,NA,"321",NA,"121","223","striped","322111",NA,"True","prior_inference"
"10","0","2127","15","English","blue things","0","red things","0","green things","0","solid things","0","striped things","0","polka-dotted things","0",NA,NA,NA,NA,NA,NA,NA,"123",NA,"331","211","cloud","111112",NA,"False","prior_inference"
"11","0","2335","17","English","blue","0.85","polka-dotted","0.5","green","0","cloud","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"131","133","133",NA,NA,"123232","True","utterance_choice"
"12","0","1282","18","English","green","1","red","0","cloud","1","blue","0","solid","1","striped","0","circle","0","polka-dotted","0","square","0","9",NA,"332","221","113",NA,NA,"111111","False","utterance_choice"
