date,workerid,amount
Fri Apr 19 09:42:42 PDT 2019,A1967FI5GJEZN8,1.0
Fri Apr 19 09:43:57 PDT 2019,A2C73Y1COWCA51,1.0
Fri Apr 19 09:54:53 PDT 2019,A22ZYDQ7VRH6EL,1.0
Fri Apr 19 09:56:44 PDT 2019,A1WT259JPLE3KT,1.0
Fri Apr 19 10:12:01 PDT 2019,A3OGH0HZMJPS9W,1.0
Fri Apr 19 10:30:12 PDT 2019,A3DSXUOWWOT30T,1.0
Fri Apr 19 10:34:21 PDT 2019,A257VR23JTGHGA,1.0
Fri Apr 19 10:51:11 PDT 2019,A2XX2QRRBNC0Y7,1.0
Fri Apr 19 11:14:22 PDT 2019,A1MTRZDRKNB9GV,1.0
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
