date,workerid,amount
Wed Apr 10 09:11:06 PDT 2019,A2MOC4PTJYY15B,0.45
Wed Apr 10 09:13:43 PDT 2019,A2I0ANKY20XQRX,0.45
Wed Apr 10 09:15:05 PDT 2019,A3PFU4042GIQLE,0.45
Wed Apr 10 09:15:20 PDT 2019,A1ZD8RU6YB0VEU,0.45
Wed Apr 10 09:15:41 PDT 2019,A29LQXBCJLIG1H,0.45
Wed Apr 10 09:26:32 PDT 2019,A24T7ZHJ01XS6V,0.45
Wed Apr 10 09:32:34 PDT 2019,A1C7XI68SED8JE,0.45
Wed Apr 10 09:36:29 PDT 2019,A3GO2JCV966XGE,0.45
Wed Apr 10 09:40:15 PDT 2019,A3I1W58P6SIV26,0.45
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
