workerid,MUsharedother,trial_type,obj3,obj2,target,itemCode,item,MUnumchoices,slide_number,MUsharedlistenerpick,MUalign,utterance,response,language,enjoyment,gender,age,comments,assess,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,NA,mutual_understanding,312,223,221,2diff2NA,159911,2,6,2,diff,striped,0.25,English,2,Male,28,n/a,Yes,3,Windows,1080,1920,Chrome,3JMQI2OLFZ0I60TFZVNXBX9819HNDD,385XUCFVXXF240SD23DC3P25S8PV4R,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.45,Wed Apr 10 09:08:29 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 10 09:08:29 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3JMQI2OLFZ0I60TFZVNXBX9819HNDD,3JNQLM5FT5I82AQ7HVS3R5A4EBZ2L0,0,Approved,Thu Apr 11 01:51:28 PDT 2019,Wed Apr 10 09:08:39 PDT 2019,Wed Apr 10 09:11:28 PDT 2019,Thu Apr 11 01:51:58 PDT 2019,,,,,[],2.610316666666667
0,NA,mutual_understanding,333,133,233,3sameNANA,292451,3,7,NA,same,green,0,English,2,Male,28,n/a,Yes,3,Windows,1080,1920,Chrome,3JMQI2OLFZ0I60TFZVNXBX9819HNDD,385XUCFVXXF240SD23DC3P25S8PV4R,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.45,Wed Apr 10 09:08:29 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 10 09:08:29 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3JMQI2OLFZ0I60TFZVNXBX9819HNDD,3JNQLM5FT5I82AQ7HVS3R5A4EBZ2L0,0,Approved,Thu Apr 11 01:51:28 PDT 2019,Wed Apr 10 09:08:39 PDT 2019,Wed Apr 10 09:11:28 PDT 2019,Thu Apr 11 01:51:58 PDT 2019,,,,,[],2.610316666666667
0,1,mutual_understanding,333,332,311,3diff11,273801,3,8,1,diff,square,0,English,2,Male,28,n/a,Yes,3,Windows,1080,1920,Chrome,3JMQI2OLFZ0I60TFZVNXBX9819HNDD,385XUCFVXXF240SD23DC3P25S8PV4R,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.45,Wed Apr 10 09:08:29 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 10 09:08:29 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3JMQI2OLFZ0I60TFZVNXBX9819HNDD,3JNQLM5FT5I82AQ7HVS3R5A4EBZ2L0,0,Approved,Thu Apr 11 01:51:28 PDT 2019,Wed Apr 10 09:08:39 PDT 2019,Wed Apr 10 09:11:28 PDT 2019,Thu Apr 11 01:51:58 PDT 2019,,,,,[],2.610316666666667
0,NA,mutual_understanding,313,222,231,1sameNANA,122520,1,9,NA,same,blue,1,English,2,Male,28,n/a,Yes,3,Windows,1080,1920,Chrome,3JMQI2OLFZ0I60TFZVNXBX9819HNDD,385XUCFVXXF240SD23DC3P25S8PV4R,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.45,Wed Apr 10 09:08:29 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 10 09:08:29 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3JMQI2OLFZ0I60TFZVNXBX9819HNDD,3JNQLM5FT5I82AQ7HVS3R5A4EBZ2L0,0,Approved,Thu Apr 11 01:51:28 PDT 2019,Wed Apr 10 09:08:39 PDT 2019,Wed Apr 10 09:11:28 PDT 2019,Thu Apr 11 01:51:58 PDT 2019,,,,,[],2.610316666666667
0,NA,mutual_understanding,313,322,122,2sameNANA,124310,2,10,NA,same,striped,0.3,English,2,Male,28,n/a,Yes,3,Windows,1080,1920,Chrome,3JMQI2OLFZ0I60TFZVNXBX9819HNDD,385XUCFVXXF240SD23DC3P25S8PV4R,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.45,Wed Apr 10 09:08:29 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 10 09:08:29 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3JMQI2OLFZ0I60TFZVNXBX9819HNDD,3JNQLM5FT5I82AQ7HVS3R5A4EBZ2L0,0,Approved,Thu Apr 11 01:51:28 PDT 2019,Wed Apr 10 09:08:39 PDT 2019,Wed Apr 10 09:11:28 PDT 2019,Thu Apr 11 01:51:58 PDT 2019,,,,,[],2.610316666666667
0,1,mutual_understanding,123,133,233,3diff21,259781,3,11,2,diff,green,0,English,2,Male,28,n/a,Yes,3,Windows,1080,1920,Chrome,3JMQI2OLFZ0I60TFZVNXBX9819HNDD,385XUCFVXXF240SD23DC3P25S8PV4R,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.45,Wed Apr 10 09:08:29 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 10 09:08:29 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3JMQI2OLFZ0I60TFZVNXBX9819HNDD,3JNQLM5FT5I82AQ7HVS3R5A4EBZ2L0,0,Approved,Thu Apr 11 01:51:28 PDT 2019,Wed Apr 10 09:08:39 PDT 2019,Wed Apr 10 09:11:28 PDT 2019,Thu Apr 11 01:51:58 PDT 2019,,,,,[],2.610316666666667
0,NA,mutual_understanding,333,313,312,2sameNANA,280110,2,12,NA,same,solid,0.35,English,2,Male,28,n/a,Yes,3,Windows,1080,1920,Chrome,3JMQI2OLFZ0I60TFZVNXBX9819HNDD,385XUCFVXXF240SD23DC3P25S8PV4R,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.45,Wed Apr 10 09:08:29 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 10 09:08:29 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3JMQI2OLFZ0I60TFZVNXBX9819HNDD,3JNQLM5FT5I82AQ7HVS3R5A4EBZ2L0,0,Approved,Thu Apr 11 01:51:28 PDT 2019,Wed Apr 10 09:08:39 PDT 2019,Wed Apr 10 09:11:28 PDT 2019,Thu Apr 11 01:51:58 PDT 2019,,,,,[],2.610316666666667
0,NA,mutual_understanding,321,222,233,2diff1NA,238360,2,13,1,diff,circle,0.15,English,2,Male,28,n/a,Yes,3,Windows,1080,1920,Chrome,3JMQI2OLFZ0I60TFZVNXBX9819HNDD,385XUCFVXXF240SD23DC3P25S8PV4R,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.45,Wed Apr 10 09:08:29 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 10 09:08:29 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3JMQI2OLFZ0I60TFZVNXBX9819HNDD,3JNQLM5FT5I82AQ7HVS3R5A4EBZ2L0,0,Approved,Thu Apr 11 01:51:28 PDT 2019,Wed Apr 10 09:08:39 PDT 2019,Wed Apr 10 09:11:28 PDT 2019,Thu Apr 11 01:51:58 PDT 2019,,,,,[],2.610316666666667
0,2,mutual_understanding,331,332,322,3diff12,77930,3,14,1,diff,square,0.15,English,2,Male,28,n/a,Yes,3,Windows,1080,1920,Chrome,3JMQI2OLFZ0I60TFZVNXBX9819HNDD,385XUCFVXXF240SD23DC3P25S8PV4R,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.45,Wed Apr 10 09:08:29 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 10 09:08:29 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3JMQI2OLFZ0I60TFZVNXBX9819HNDD,3JNQLM5FT5I82AQ7HVS3R5A4EBZ2L0,0,Approved,Thu Apr 11 01:51:28 PDT 2019,Wed Apr 10 09:08:39 PDT 2019,Wed Apr 10 09:11:28 PDT 2019,Thu Apr 11 01:51:58 PDT 2019,,,,,[],2.610316666666667
0,NA,mutual_understanding,133,332,232,3sameNANA,217610,3,15,NA,same,polka-dotted,0,English,2,Male,28,n/a,Yes,3,Windows,1080,1920,Chrome,3JMQI2OLFZ0I60TFZVNXBX9819HNDD,385XUCFVXXF240SD23DC3P25S8PV4R,Questions about Images,Answer questions about English conversations.,language research fun cognitive science university,$0.45,Wed Apr 10 09:08:29 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 10 09:08:29 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3JMQI2OLFZ0I60TFZVNXBX9819HNDD,3JNQLM5FT5I82AQ7HVS3R5A4EBZ2L0,0,Approved,Thu Apr 11 01:51:28 PDT 2019,Wed Apr 10 09:08:39 PDT 2019,Wed Apr 10 09:11:28 PDT 2019,Thu Apr 11 01:51:58 PDT 2019,,,,,[],2.610316666666667
