workerid,MUsharedother,trial_type,obj3,obj2,target,itemCode,item,MUnumchoices,slide_number,MUsharedlistenerpick,MUalign,utterance,response
0,NA,mutual_understanding,133,232,312,1sameNANA,215500,1,6,NA,same,square,1
0,NA,mutual_understanding,211,232,331,2sameNANA,58940,2,7,NA,same,polka-dotted,0.5
0,2,mutual_understanding,312,311,111,3diff12,16612,3,8,1,diff,solid,0
0,NA,mutual_understanding,213,332,312,2diff2NA,111621,2,9,2,diff,red,0
0,NA,mutual_understanding,231,321,311,2sameNANA,4700,2,10,NA,same,square,0.5
0,NA,mutual_understanding,222,333,123,2sameNANA,282350,2,11,NA,same,green,0.5
0,NA,mutual_understanding,231,311,113,2diff1NA,83970,2,12,1,diff,solid,0
0,1,mutual_understanding,231,131,321,3diff11,5522,3,13,1,diff,blue,0
0,NA,mutual_understanding,111,211,221,3sameNANA,482,3,14,NA,same,blue,0.5
0,1,mutual_understanding,123,133,233,3diff21,259781,3,15,2,diff,green,0
0,NA,mutual_understanding,332,312,122,1sameNANA,75730,1,16,NA,same,cloud,1
0,NA,mutual_understanding,323,322,312,3sameNANA,187300,3,17,NA,same,square,0.5
0,NA,mutual_understanding,212,311,313,3sameNANA,118772,3,18,NA,same,solid,0.5
0,NA,mutual_understanding,332,123,113,1sameNANA,150040,1,19,NA,same,solid,0.5
0,2,mutual_understanding,333,213,233,3diff22,291950,3,20,2,diff,green,0
1,NA,mutual_understanding,322,232,212,3sameNANA,66120,3,6,NA,same,red,0.25
1,1,mutual_understanding,213,232,221,3diff11,109301,3,7,1,diff,circle,0
1,NA,mutual_understanding,311,221,232,2sameNANA,56861,2,8,NA,same,circle,0.3
1,NA,mutual_understanding,133,331,311,2sameNANA,205400,2,9,NA,same,square,0.4
1,2,mutual_understanding,331,332,322,3diff12,77930,3,10,1,diff,square,0
1,NA,mutual_understanding,332,312,122,1sameNANA,75730,1,11,NA,same,cloud,1
1,NA,mutual_understanding,331,111,213,1sameNANA,99760,1,12,NA,same,circle,1
1,NA,mutual_understanding,122,133,131,3sameNANA,209600,3,13,NA,same,cloud,0
1,NA,mutual_understanding,311,232,132,2diff2NA,66741,2,14,2,diff,polka-dotted,0.4
1,1,mutual_understanding,121,112,132,3diff21,49461,3,15,2,diff,cloud,0.05
1,NA,mutual_understanding,231,321,311,2sameNANA,4700,2,16,NA,same,square,0.35
1,2,mutual_understanding,322,222,122,3diff22,45422,3,17,2,diff,red,0
1,NA,mutual_understanding,313,331,221,1sameNANA,117200,1,18,NA,same,circle,1
1,NA,mutual_understanding,122,311,332,2diff1NA,74860,2,19,1,diff,square,0.35
1,NA,mutual_understanding,213,312,311,3sameNANA,102610,3,20,NA,same,solid,0
2,NA,mutual_understanding,123,131,132,3sameNANA,144131,3,6,NA,same,cloud,0.75
2,1,mutual_understanding,221,211,111,3diff21,421,3,7,2,diff,blue,0.45
2,NA,mutual_understanding,111,133,331,2diff1NA,205241,2,8,1,diff,polka-dotted,0.3
2,1,mutual_understanding,212,211,113,3diff11,86270,3,9,1,diff,solid,0.25
2,NA,mutual_understanding,111,232,231,2sameNANA,58130,2,10,NA,same,circle,0.7
2,NA,mutual_understanding,121,322,321,2sameNANA,37730,2,11,NA,same,square,0.7
2,NA,mutual_understanding,211,222,232,3sameNANA,63962,3,12,NA,same,circle,0.75
2,NA,mutual_understanding,133,312,222,1sameNANA,211330,1,13,NA,same,circle,0.75
2,NA,mutual_understanding,231,111,131,2diff2NA,5030,2,14,2,diff,cloud,0.25
2,NA,mutual_understanding,312,112,212,1sameNANA,21930,1,15,NA,same,circle,0.75
2,2,mutual_understanding,311,323,321,3diff22,178332,3,16,2,diff,square,0.25
2,2,mutual_understanding,131,331,333,3diff12,263470,3,17,1,diff,polka-dotted,0.3
2,NA,mutual_understanding,312,311,133,1sameNANA,208170,1,18,NA,same,polka-dotted,0.85
2,NA,mutual_understanding,331,131,111,3sameNANA,7120,3,19,NA,same,blue,0.75
2,NA,mutual_understanding,222,333,113,2sameNANA,276650,2,20,NA,same,green,0.8
3,NA,mutual_understanding,331,213,111,2sameNANA,99710,2,6,NA,same,solid,1
3,1,mutual_understanding,331,321,322,3diff21,39760,3,7,2,diff,square,0.05
3,NA,mutual_understanding,232,111,311,2sameNANA,56141,2,8,NA,same,solid,0.95
3,2,mutual_understanding,122,132,332,3diff12,79780,3,9,1,diff,red,0.05
3,NA,mutual_understanding,232,212,113,1sameNANA,94680,1,10,NA,same,green,0.95
3,NA,mutual_understanding,333,113,223,3sameNANA,284951,3,11,NA,same,green,1
3,NA,mutual_understanding,331,223,221,2sameNANA,157210,2,12,NA,same,striped,1
3,NA,mutual_understanding,122,133,131,3sameNANA,209600,3,13,NA,same,cloud,1
3,NA,mutual_understanding,131,321,223,1sameNANA,156060,1,14,NA,same,circle,0.95
3,NA,mutual_understanding,331,211,222,1sameNANA,31580,1,15,NA,same,red,1
3,1,mutual_understanding,232,222,211,3diff11,63901,3,16,1,diff,circle,0
3,NA,mutual_understanding,222,112,113,2diff2NA,90360,2,17,2,diff,cloud,0.05
3,2,mutual_understanding,212,322,312,3diff22,42952,3,18,2,diff,red,0.05
3,NA,mutual_understanding,321,231,211,3sameNANA,4620,3,19,NA,same,blue,0.95
3,NA,mutual_understanding,113,223,232,2diff1NA,170901,2,20,1,diff,circle,0
4,NA,mutual_understanding,212,311,313,3sameNANA,118772,3,6,NA,same,solid,0.85
4,NA,mutual_understanding,311,332,322,3sameNANA,77331,3,7,NA,same,square,0.95
4,NA,mutual_understanding,221,113,123,2sameNANA,148781,2,8,NA,same,green,0.9
4,NA,mutual_understanding,222,113,131,2diff1NA,90001,2,9,1,diff,cloud,0.15
4,NA,mutual_understanding,331,231,112,1sameNANA,11980,1,10,NA,same,red,0.9
4,NA,mutual_understanding,312,121,221,2diff2NA,17450,2,11,2,diff,blue,0.1
4,1,mutual_understanding,311,212,112,3diff21,15842,3,12,2,diff,solid,0.1
4,NA,mutual_understanding,321,211,113,1sameNANA,82780,1,13,NA,same,green,0.9
4,1,mutual_understanding,221,121,323,3diff11,178070,3,14,1,diff,striped,0.05
4,2,mutual_understanding,211,121,111,3diff22,121,3,15,2,diff,blue,0.05
4,NA,mutual_understanding,331,213,111,2sameNANA,99710,2,16,NA,same,solid,0.9
4,NA,mutual_understanding,313,222,231,1sameNANA,122520,1,17,NA,same,blue,0.95
4,2,mutual_understanding,313,211,212,3diff12,118642,3,18,1,diff,solid,0.1
4,NA,mutual_understanding,323,223,233,3sameNANA,257582,3,19,NA,same,green,0.9
4,NA,mutual_understanding,132,312,112,2sameNANA,51910,2,20,NA,same,solid,0.95
5,NA,mutual_understanding,321,231,211,3sameNANA,4620,3,6,NA,same,blue,0.65
5,NA,mutual_understanding,232,122,322,3sameNANA,66351,3,7,NA,same,red,0.3
5,2,mutual_understanding,313,213,233,3diff12,250981,3,8,1,diff,green,0.15
5,1,mutual_understanding,233,213,113,3diff21,248921,3,9,2,diff,green,0.55
5,NA,mutual_understanding,223,212,131,1sameNANA,159100,1,10,NA,same,cloud,0.9
5,NA,mutual_understanding,231,321,311,2sameNANA,4700,2,11,NA,same,square,0.4
5,NA,mutual_understanding,133,212,221,1sameNANA,207310,1,12,NA,same,striped,0.85
5,NA,mutual_understanding,132,213,223,2diff2NA,172680,2,13,2,diff,green,0.6
5,NA,mutual_understanding,331,111,131,3sameNANA,7151,3,14,NA,same,blue,0.2
5,NA,mutual_understanding,231,323,321,2sameNANA,179700,2,15,NA,same,square,0.6
5,NA,mutual_understanding,112,321,111,2diff1NA,9421,2,16,1,diff,blue,0.45
5,1,mutual_understanding,233,213,221,3diff11,247502,3,17,1,diff,circle,0.35
5,NA,mutual_understanding,231,311,212,2sameNANA,14371,2,18,NA,same,solid,0.65
5,NA,mutual_understanding,332,331,213,1sameNANA,111360,1,19,NA,same,circle,0.85
5,2,mutual_understanding,322,212,222,3diff22,45250,3,20,2,diff,red,0.25
6,2,mutual_understanding,323,311,312,3diff12,182832,3,6,1,diff,square,0.75
6,NA,mutual_understanding,112,222,211,2diff1NA,32301,2,7,1,diff,circle,0.25
6,NA,mutual_understanding,121,231,232,1sameNANA,58480,1,8,NA,same,red,0.65
6,NA,mutual_understanding,211,123,223,2sameNANA,175171,2,9,NA,same,striped,0.35
6,1,mutual_understanding,123,133,233,3diff21,259781,3,10,2,diff,green,0.8
6,NA,mutual_understanding,313,333,132,2sameNANA,280510,2,11,NA,same,polka-dotted,0.35
6,NA,mutual_understanding,312,213,212,3sameNANA,103410,3,12,NA,same,solid,0.75
