"","workerid","item","slide_number","language","MUsharedother","target","obj2","obj3","itemCode","MUnumchoices","MUsharedlistenerpick","MUalign","utterance","response","gender","age"
"1",0,242560,6,"english",NA,233,232,321,"2diff2NA",2,2,"diff","circle",0.6,"Male","28"
"2",0,74461,7,"english",NA,332,312,112,"2sameNANA",2,NA,"same","square",0.1,"Male","28"
"3",0,4700,8,"english",NA,311,321,231,"2sameNANA",2,NA,"same","square",1,"Male","28"
"4",0,268730,9,"english",NA,222,112,333,"1sameNANA",1,NA,"same","circle",1,"Male","28"
"5",0,269301,10,"english",1,311,322,333,"3diff11",3,1,"diff","square",0.15,"Male","28"
"6",0,1261,11,"english",NA,321,311,211,"2sameNANA",2,NA,"same","square",1,"Male","28"
"7",0,58480,12,"english",NA,232,231,121,"1sameNANA",1,NA,"same","red",1,"Male","28"
"8",0,79780,13,"english",2,332,132,122,"3diff12",3,1,"diff","red",0.7,"Male","28"
"9",0,150810,14,"english",NA,231,213,123,"1sameNANA",1,NA,"same","polka-dotted",1,"Male","28"
"10",0,73251,15,"english",NA,212,332,231,"2diff1NA",2,1,"diff","red",0.4,"Male","28"
"11",0,67820,16,"english",NA,222,232,132,"3sameNANA",3,NA,"same","red",1,"Male","28"
"12",0,15842,17,"english",1,112,212,311,"3diff21",3,2,"diff","solid",0.25,"Male","28"
"13",0,131242,18,"english",2,213,211,313,"3diff22",3,2,"diff","solid",0.5,"Male","28"
"14",0,217610,19,"english",NA,232,332,133,"3sameNANA",3,NA,"same","polka-dotted",0.85,"Male","28"
"15",0,144131,20,"english",NA,132,131,123,"3sameNANA",3,NA,"same","cloud",0.8,"Male","28"
"16",1,285700,6,"English",NA,221,323,333,"1sameNANA",1,NA,"same","circle",1,"Female","27"
"17",1,60600,7,"English",NA,211,212,232,"3sameNANA",3,NA,"same","circle",0.7,"Female","27"
"18",1,208420,8,"English",NA,321,312,133,"1sameNANA",1,NA,"same","blue",0.9,"Female","27"
"19",1,14451,9,"English",NA,231,121,212,"2sameNANA",2,NA,"same","blue",0.7,"Female","27"
"20",1,84300,10,"English",NA,131,113,231,"2sameNANA",2,NA,"same","cloud",0.85,"Female","27"
"21",1,248922,11,"English",2,113,213,233,"3diff12",3,1,"diff","green",0,"Female","27"
"22",1,171050,12,"English",NA,113,223,332,"2sameNANA",2,NA,"same","green",0.75,"Female","27"
"23",1,3181,13,"English",1,131,211,321,"3diff11",3,1,"diff","blue",0.05,"Female","27"
"24",1,120540,14,"English",2,312,313,212,"3diff22",3,2,"diff","solid",0.05,"Female","27"
"25",1,227170,15,"English",NA,133,232,223,"2diff1NA",2,1,"diff","polka-dotted",0.05,"Female","27"
"26",1,272610,16,"English",NA,131,232,333,"3sameNANA",3,NA,"same","polka-dotted",0.95,"Female","27"
"27",1,4850,17,"English",1,321,121,231,"3diff21",3,2,"diff","blue",0.1,"Female","27"
"28",1,63962,18,"English",NA,232,222,211,"3sameNANA",3,NA,"same","circle",0.95,"Female","27"
"29",1,207170,19,"English",NA,133,311,212,"1sameNANA",1,NA,"same","polka-dotted",0.9,"Female","27"
"30",1,60760,20,"English",NA,232,212,311,"2diff2NA",2,2,"diff","circle",0,"Female","27"
"31",2,37730,6,"English",NA,321,322,121,"2sameNANA",2,NA,"same","square",0.75,"Male","33"
"32",2,248921,7,"English",1,113,213,233,"3diff21",3,2,"diff","green",0.2,"Male","33"
"33",2,274450,8,"English",NA,332,331,333,"1sameNANA",1,NA,"same","red",0.65,"Male","33"
"34",2,171200,9,"English",NA,211,213,223,"3sameNANA",3,NA,"same","circle",0.3,"Male","33"
"35",2,226000,10,"English",NA,321,223,133,"1sameNANA",1,NA,"same","square",0.7,"Male","33"
"36",2,206002,11,"English",2,111,112,133,"3diff12",3,1,"diff","cloud",0.35,"Male","33"
"37",2,187442,12,"English",2,322,323,122,"3diff22",3,2,"diff","striped",0.65,"Male","33"
"38",2,150810,13,"English",NA,231,213,123,"1sameNANA",1,NA,"same","polka-dotted",0.25,"Male","33"
"39",2,280920,14,"English",NA,213,313,333,"3sameNANA",3,NA,"same","green",0.6,"Male","33"
"40",2,227170,15,"English",NA,133,232,223,"2diff1NA",2,1,"diff","polka-dotted",0.35,"Male","33"
"41",2,17230,16,"English",NA,221,211,312,"2diff2NA",2,2,"diff","circle",0.1,"Male","33"
"42",2,7120,17,"English",NA,111,131,331,"3sameNANA",3,NA,"same","blue",0.4,"Male","33"
"43",2,171050,18,"English",NA,113,223,332,"2sameNANA",2,NA,"same","green",0.65,"Male","33"
"44",2,76881,19,"English",1,332,212,222,"3diff11",3,1,"diff","red",0.3,"Male","33"
"45",2,70451,20,"English",NA,231,121,332,"2sameNANA",2,NA,"same","blue",0.6,"Male","33"
"46",3,181731,6,"ENGLISH",NA,212,211,323,"2sameNANA",2,NA,"same","circle",0.5,"Male","29`"
"47",3,292052,7,"ENGLISH",1,233,333,313,"3diff21",3,2,"diff","green",0.6,"Male","29`"
"48",3,86270,8,"ENGLISH",1,113,211,212,"3diff11",3,1,"diff","solid",0.5,"Male","29`"
"49",3,153570,9,"ENGLISH",NA,123,132,313,"1sameNANA",1,NA,"same","striped",0.5,"Male","29`"
"50",3,285700,10,"ENGLISH",NA,221,323,333,"1sameNANA",1,NA,"same","circle",0.5,"Male","29`"
"51",3,4700,11,"ENGLISH",NA,311,321,231,"2sameNANA",2,NA,"same","square",0.7,"Male","29`"
"52",3,175160,12,"ENGLISH",NA,223,211,123,"2diff1NA",2,1,"diff","circle",0.65,"Male","29`"
"53",3,178531,13,"ENGLISH",NA,321,323,221,"2diff2NA",2,2,"diff","square",0.5,"Male","29`"
"54",3,284951,14,"ENGLISH",NA,223,113,333,"3sameNANA",3,NA,"same","green",0.7,"Male","29`"
"55",3,58940,15,"ENGLISH",NA,331,232,211,"2sameNANA",2,NA,"same","polka-dotted",0.6,"Male","29`"
"56",3,142642,16,"ENGLISH",2,322,321,123,"3diff12",3,1,"diff","striped",0.5,"Male","29`"
"57",3,102610,17,"ENGLISH",NA,311,312,213,"3sameNANA",3,NA,"same","solid",0.5,"Male","29`"
"58",3,7020,18,"ENGLISH",NA,221,321,331,"3sameNANA",3,NA,"same","blue",0.5,"Male","29`"
"59",3,174922,19,"ENGLISH",2,213,223,313,"3diff22",3,2,"diff","green",0.5,"Male","29`"
"60",3,150810,20,"ENGLISH",NA,231,213,123,"1sameNANA",1,NA,"same","polka-dotted",0.6,"Male","29`"
"61",4,159100,6,"ENGLISH",NA,131,212,223,"1sameNANA",1,NA,"same","cloud",0.8,"Female","40"
"62",4,15842,7,"ENGLISH",1,112,212,311,"3diff21",3,2,"diff","solid",0.7,"Female","40"
